,工具性技能1,工具性技能2,工具性技能3,工具性技能4,工具性技能5,工具性技能6,知识/思维1,知识/思维2,知识/思维3,知识/思维4,知识/思维5,知识/思维6,语言1,语言2,语言3,资质/经验1,资质/经验2,资质/经验3,通用技能1,通用技能2,通用技能3,通用技能4,通用技能5,通用技能6,思想/品格1,思想/品格2,思想/品格3,思想/品格4,思想/品格5,其他要求1,其他要求2,其他要求3
嵌入式软件开发工程师,linux/嵌入式操作系统,C++,C语言,ARM,,,数据结构,SPI-UART-I2C,,,,,,,,,,,,,,,,,,,,,,,,
驱动开发工程师,Android,C++,Java,html5css,,,数据结构,AndroidUI框架,Kotlin,Spring,,,,,,,,,,,,,,,,,,,,,,
人力资源经理/人力资源主管/人力资源专员/人力资源助理/人力资源总监/人力资源VP/CHO,,,,,,,人力资源六大板块内容,人力资源各模块工作内容,国家政策,,,,,,,人力资源相关资格证书,,,office办公软件,沟通协调,团队协作,,,,抗压,,,,,,,
软件测试工程师,C++,Java,linux,Mysql,python,,操作系统,测试方法,测试理论,软硬件测试流程,,,,,,,,,,,,,,,,,,,,,,
商务司机,,,,,,,新客户开发,客情维护,项目公关,,,,普通话标准,,,,,,学习,,,,,,乐观主动,销售欲望,性格坚韧,,,口齿清晰,,
商务总监/商务经理/商务专员,,,,,,,销售思维,进销存系统,商务谈判,,,,,,,,,,office办公软件,沟通协调,逻辑思考,,,,高效执行力,领导力,,,,正形象气质,,
设计管培生,AutoCad,3dsMAX,Photoshop,Skecthup,设计类软件,手绘板,视觉营销,,,,,,,,,美术功底,,,,,,,,,审美力,,,,,,,
社交媒体运营/抖音运营/微信运营/知乎运营/小红书运营,,,,,,,策略思维,运营规则机制,,,,,,,,文案功底,新媒体运营工作经验,,,,,,,,眼光独到,热点感知,审美力,,,,,
市场管理培训生,,,,,,,推广活动流程,社团管理,活动策划,,,,,,,文字功底,社会实践经历,,数据分析,学习,组织协调,沟通协调,,,领导力,工作积极主动,,,,,,
市场营销管培生,,,,,,,市场营销,IT项目流程,管理思维,客户资源开拓,,,,,,ToB销售经验,,,问题分析处理,,,,,,品行良好,亲和?力,三观正,承挫抗压,,,,
市场营销人员/市场推广人员/市场顾问/市场总监/营销主管,,,,,,,,,,,,,,,,,,,,,,,,,管理潜质,竞争意识,目标敏感,爱管事,进取心,谦虚谨慎,,
视觉设计师/视觉设计总监,CG制作软件,illustrator,Photoshop,主流设计软件,,,版式设计,视觉设计,字体设计,,,,,,,,,,,,,,,,,,,,,,,
视频编辑师,Finalcut,合成软件,premiere,,,,数码相机应用技巧,后期制作技术基础,摄像技术,,,,,,,,,,沟通协调,,,,,,想象力,,,,,,,
售前工程师/售前技术支持/售前客服,,,,,,,计算机网络,软件系统,云计算相关概念,大数据处理,通信网络技术,,,,,文字功底,,,沟通协调,,,,,,,,,,,,,
数据分析师,Hive,python,SAS,spark,SQL,,统计分析原理,,,,,,,,,,,,Excel,数据分析,,,,,,,,,,,,
私域运营/社区运营/流量运营/媒介运营/渠道运营/区域运营,投影机,,,,,,策划,互联网知识,新客转化各漏斗环节,分析总结用户,,,,,,,,,,,,,,,领导力,,,,,,,
土木结构工程师/土建结构工程师,AutoCad,inventor,PRO,proE,SolidWorks,三维设计开发软件,钣金设计,材料、力学,模具制造工艺,压铸模,,,专业英文用词,,,,,,,,,,,,,,,,,,,
外贸经理/外贸业务员,,,,,,,外贸订单跟踪,,,,,,英语6级听说读写能力,日语口语,,,,,,,,,,,,,,,,,,
系统工程师,C++,linux,MatLab,python,,,软件研发流程,电气原理图设计,计算机基本理论知识,图像处理算法设计,,,编写英文技术文档,,,,,,,,,,,,自驱力,,,,,,,
