岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
医药项目经理/医药产品经理,商业思维,27.556781143627944,信息搜集,17.448316577215685,业务敏感度,12.944965470191026,分析解决问题,4.347600844290387,化办公软件,2.5909724007993247,抗压性,0.21239102517981195,极富团队合作精神,0.0,,,,,,
单片机工程师,测量仪器,24.565671621639453,模拟电路基础,24.004030422761442,数字滤波器,17.742784757774267,单片机内部结构,17.195970135147615,硬件知识,16.505923972463716,spi,14.809035455144494,电路问题,14.73940297298367,详细设计,13.399457248166975,常用外围电路,10.654550108138874,常用外设,10.425654759342363
发型师/美发学徒,分子生物学技能,11.754999922828352,中英文沟通,0.0,,,,,,,,,,,,,,,,
可靠度工程师,相关性分析,29.47880594596735,数据统计软件,21.05628996140525,面向对象的程序设计,14.056624972436088,minitab,13.935354845414729,hbase,9.8627219068656,算法基础,5.6540328709576455,数据结构,4.221735520061397,机电产品结构原理,4.211257992281051,kafka,3.3136040799553244,php,2.563690767854051
后勤/总务,offic办公软件,2.560447576194346,,,,,,,,,,,,,,,,,,
后期制作,调色软件,22.927960180196827,合成软件,22.3107712241324,color,19.652537297311568,premiere,5.673174575439434,逻辑性,0.0,影视公司影视包装,0.0,,,,,,,,
咖啡师,咸点的制作,29.47880594596735,极富团队合作精神,0.5975926612621302,服务意识足,0.5528330183691633,工作激情,0.0,,,,,,,,,,,,
品牌公关,客户视,24.565671621639456,图片处理,19.809090889141277,英文沟通,15.855514192384197,为人诚信,14.93465056036364,内容写作,14.602767788315834,人际关系敏感度,13.061511224781322,文字功底,12.152608109037487,短视频,10.20461913020204,后期制作,9.44739698520476,沟综合素质,9.444396096225042
品牌推广人员,客户人群,29.47880594596735,运营流程,29.47880594596735,活动方案的策划实施2,23.58304475677388,独立策划,14.435207743282277,西班牙语,13.39559341497918,沟通协作,12.768800621882582,市场营销,11.576511623207448,口齿清晰,9.30139589010216,性格坚韧,7.3611514519893095,英语口语,6.040623206205438
品类运营,产品or运营经验,46.917863863467495,阅读平台运营经验,29.478805945967352,责任感6,0.0,,,,,,,,,,,,,,
售前工程师/售前技术支持/售前客服,云计算相关概念,122.8283581081973,大数据处理,47.278393234210625,形成解决方案,31.389413488499397,产品的软硬件,29.478805945967345,基本的礼仪知识,29.478805945967345,引导客户,23.583044756773877,表达技巧,19.30172395381202,文字基础,18.14599185677109,会通过运营,15.10108130368435,敢于挑战4,11.791522378386938
售后工程师/售后技术支持/售后客服,营养学,29.47880594596735,天猫客服后台操作,29.47880594596735,生活工作习惯,24.512308453405502,道德品质,23.179135111686126,文明礼貌,19.652537297311568,文字基础,18.14599185677109,普通话标准,17.253121709456163,热情耐心,16.337579731044165,语言组织,15.1214578578547,敬业奋斗,14.739402972983674
商务司机,商务谈判,42.21547903819859,性格坚韧,35.09559076099954,普通话标准,30.965226431368272,市场开拓,29.96872661230661,项目公关,29.478805945967363,开发新客户,29.30048561543435,口齿清晰,27.90418767030648,知识学习,27.576210464761438,乐观主动,27.327450580618297,销售意识,25.88507621196941
商务总监/商务经理/商务专员,销售思维,151.50952357549022,商务谈判,135.35756770977957,职业素质,51.934868102289286,出发思考,49.8408666070157,沟通交互,49.24627939135803,进销存系统,41.76164175678708,逻辑性,29.51794455932575,医药专业背景,29.478805945967352,产品发布,27.022238783803406,踏实稳重,26.60047492021544
