岗位名称,技能词1,特征值1,技能词2,特征值2,技能词3,特征值3,技能词4,特征值4,技能词5,特征值5,技能词6,特征值6,技能词7,特征值7,技能词8,特征值8,技能词9,特征值9,技能词10,特征值10
售后客服,敬业奋斗,375.9361647939713,道德品质,374.43303141022756,文明礼貌,358.8481573033363,热情耐心,331.2223626968734,了解公司产品,272.78140053535395,口头表达,208.09174452042123,正能量,160.3795219193906,人力资源,160.17395672261017,电子商务业务销售技巧,148.53968159065303,分析思考问题,144.6618565421154
售后工程师,服务配置,341.7601498127013,积极学习新知识,307.5841348314311,原则性,271.7467520328865,器皿材料,239.23210486889084,客户管理知识,229.91137351036286,职业道德,222.2211372926905,伺服控制,205.05608988762071,机电设备,199.3600873907424,linux操作系统,181.30521060276672,电气原理图设计,146.70392061135283
售后技术支持,liunx命令,720.5443158551119,电子产品,395.3738757110195,路由协议,352.03618259332717,linux操作系统,297.8585602759739,数通厂商设备配置,281.6289460746617,huawei,246.42532781532876,洞察力,171.97505467480136,逻辑思考力,94.48786007021346,redis,63.22777862485413,人际交往,61.82278905045458
售后服务顾问,机器视觉的原理,592.384259675349,电力系统运行规程,580.9922546815922,安全规范,484.1602122346602,流量计,312.46185646485367,机电安装知识,307.7269969855993,计算机操作,303.5216422353494,公司驱动器,239.2321048688909,服务流程,196.63349249790306,英文基础,190.86492660050303,伺服驱动器产品,184.024696052993
商业顾问,商业洞察力,585.9114665612901,机器学习技术,444.2881947565116,用户同理心,360.050783242892,产品战略,330.36814481894436,组织协调力,117.30741887021819,自驱动力,108.59829306874423,用户体验设计,91.673416599307,思维灵活,86.5576699173479,逻辑思考力,55.11791837429117,进取心,45.77763150242127
商务专员,制药行业国内外临床试验,1127.8084943819142,不怕困难,881.741186516769,进销存系统,774.6563395754565,政策法规,641.683786019442,商务谈判,539.6234680126581,产品发布,501.2482197252954,医药信息收集,479.05877884998665,代理关系,464.7938037452737,信息维护,455.68019975026857,商务资料管理,444.2881947565116
商务助理,项目型思维,871.4883820223882,游戏行业,841.4159816279448,高效执行力,820.2243595504831,销售思维,694.1644078225121,计算机知识,657.1999376276144,形象好,614.7471845363798,17-26岁,580.9922546815922,商务谈判,558.9306482540528,认真的态度,501.24821972529526,口语良好,447.51534401473725
商务拓展,运营分析,1025.2804494381041,工作心态,892.0414504282267,商务运营,642.8888151476701,商务谈判,629.5607126814344,美妆产品使用,558.0851075121149,线上营销,531.4579047833981,核心功能成分,465.0709229267623,热爱市场营销,444.2881947565115,乐于面对挑战,400.3476040663074,营销管理知识,379.03387056854126
商务管培生,主席经验,738.6057283135954,管理方向发展,515.0744808930466,领导力,467.8972809016051,社会实践经历,414.8760101428817,清晰的职业规划,383.859906332866,工作积极主动,345.68542970706835,学生会干部,325.75460160442475,使命感,319.39246865070277,电脑基础知识,316.69053671970363,事业进取心,257.3430400701611
商品管理,创新的想法,747.6003277152839,中英文水平,671.0705592179727,品牌服装企业运作流程,554.7018631368047,文案处理,374.4677977733187,商品运营管理流程,313.2801373283094,数据分析方法,310.9523300031731,竞品商品运营情况,250.62410986264754,珠宝行业发展趋势,231.62760680711156,数字分析归纳函数,215.30889438200182,offic办公软件,168.01865770796596
