行业,岗位大类,岗位细分,岗位具体名称,code,最低薪资,最高薪资,资质要求1,资质要求2,学历要求,标签,职位描述,所属公司,所属公司_code,公司介绍,公司所在行业,公司性质,公司规模,公司所在地,公司标签,刷新时间,【关键词1】前,【词1-词2】,【词2后】,工作内容（总的）,简历要求,截止日期,职位所在地,网站链接
互联网/IT,技术,技术,数字化运维工程师（2023届）,inn_cqpnvvvmlbco,面议,面议,应届生,,硕士,年终奖;年度旅游;绩效奖金;五险一金,运维,广发证券,com_uoiebi2x3duy,国内一线证券公司,金融/经济/投资/财会,股份制企业,2000人以上,广州,晋升空间大;牛人多、环境好;出境游;主管一对一教导;员工活动丰富,2022-04-13 11:03:35,," 
1、负责运维可视化管理平台的建设及运维工作；
 
 
2、负责自动化运维、部署相关的脚本编写；
 
 
3、提高运维、开发协作效率，规范操作流程，建设及维护持续集成流水线；
 
 
4、负责运维自动化体系的运营分析，实施运维工具化、自动化、平台化的长期目标。
 "," 
1、熟悉linux、windows操作系统；
 
 
2、具备一定的的python/shell语言开发能力，有web开发能力者优先；
 
 
3、熟练常用的自动化运维工具，例如ansible、saltstack、puppet等；
 
 
4、熟悉常用的持续集成工具jenkins、teamcity、Git等；
 
 
5、良好的学习、沟通和协调能力，有高度的责任心和团队合作精神；
 
 
6、有运维平台、监控报警等系统开发经验者优先；
 
7、有互联网行业及金融行业实习经验者优先。","岗位职责:
 
1、负责运维可视化管理平台的建设及运维工作；
 
 
2、负责自动化运维、部署相关的脚本编写；
 
 
3、提高运维、开发协作效率，规范操作流程，建设及维护持续集成流水线；
 
 
4、负责运维自动化体系的运营分析，实施运维工具化、自动化、平台化的长期目标。
 
任职资格:
 
1、熟悉linux、windows操作系统；
 
 
2、具备一定的的python/shell语言开发能力，有web开发能力者优先；
 
 
3、熟练常用的自动化运维工具，例如ansible、saltstack、puppet等；
 
 
4、熟悉常用的持续集成工具jenkins、teamcity、Git等；
 
 
5、良好的学习、沟通和协调能力，有高度的责任心和团队合作精神；
 
 
6、有运维平台、监控报警等系统开发经验者优先；
 
7、有互联网行业及金融行业实习经验者优先。",中文,2022-07-12,广发证券大厦,https://www.shixiseng.com/intern/inn_cqpnvvvmlbco?pcm=pc_SearchList
互联网/IT,技术,技术,生产技术解决方案管培生-动设备（南京）,inn_hfbarq91tchl,10000,12000,应届生,毕业1年内,本科,轮岗培训;一对一带教;弹性工作制;年终奖;周末双休;活动丰富;免费班车;不打卡;团队专业;多元化&包容,热能工程;制冷与低温工程;压缩机工程;化工过程机械,空气化工,com_bom8w0bygyyl,500强美资企业，全球四大气体公司之一，大平台大发展,化工/能源/环保,外资企业,2000人以上,上海市/上海,大集团背景;公司很美;这里有梦想,2022-03-03 15:43:04,,,,"
	
 


	空气产品公司未来领袖管培生项目，是公司对未来人才培养的一项长期战略投资，旨在招募顶尖的应届大学毕业生，将他们培养成推动创新、为企业和社会创造价值的未来领袖。


	作为全球历史最为悠久的领导人才输送计划之一，该计划已经在美国和欧洲实施了60多年，于2004年登陆中国，不断为公司输送各类年轻人才，涵盖工程技术、生产运营、数字技术、销售市场、业务支持等各类职能。


	
 


	
 


	- 充满挑战的轮岗学习：每位管培生都将在公司内部不同领域的多个职位中培养和发展自己的技术和兴趣。通常在加入公司的前两年，管培生将完成富有挑战性的三个不同职位的轮岗。


	- 完善充实的培训计划：在为期两年的轮岗过程中，我们为每一段轮岗都设置了明确的学习目标和完整的培训计划，并设置了一对一的资深经理或导师予以帮助和指导。


	- 丰富有趣的业余活动：所有管培生都将加入公司职业发展计划理事会组织（Career


	Development Program Council）中，通过参与和组织形式丰富的各类活动了解公司文化，拓展内部人脉。


	 


	
 


	 The EDP engineer will fulfill 3 x 8 months assignments in different groups within plant operations, plant process, process safety, control & instrument, machinery, advance control & digital technology, operation excellence management system, etc.


	 Every EDP engineer is assigned a senior manager as a mentor to guide and advise them as they progress through the program.


	 Be able to quickly understand details of Asia OTS operational process/steps, assist other team members to build up innovation tools for digital operation.


	 Support on SPIDER room advanced controls applications, include Advanced Controls applications monitoring and data management system development.


	 Work with other team number to develop tracking programs and metrics for plant optimization and efficiency, and controller on-stream.


	 Understand basic knowledge of Real-time database and its applications, such as Aspen Infoplus 2.1.


	 Be able to develop simple applications for data-driven optimization and operating instructions within EXCEL (VBA), or Python and Knime.


	 Complete at least 3 MOOC (eg. Coursera) course in English.


	 


	
 


		Bachelor’s degree with <1 year working experience, with major of Chemical Engineering, Thermo Engineering, Process Control, Process Equipment, or other process industrial related disciplines.


		Experience with Python, VBA, C or SQL coding, and familiar with office365 applications preferred.
 


		Excellent English skills, both written and oral.


		Open, proactive, and willing to learn. Be able to self-study independently courses in English on-line (e.g. MOOC) will be plus.


		Passionate for continues learning, apply new knowledge and skills in real production world.


	
 
",不限,2022-04-30,南京市化学工业园区白龙路99号,https://www.shixiseng.com/intern/inn_hfbarq91tchl?pcm=pc_SearchList
互联网/IT,技术,技术管理,算法研究员,inn_gx0kkimvw19z,面议,面议,应届生,,本科,弹性工作;不打卡;工作氛围好;无限零食, Python;编程基础;科研背景,旷视科技,com_26tpuo0sol6o,一家以人工智能技术为核心的行业物联解决方案提供商,互联网/游戏/软件,民营企业,2000人以上,北京市/北京,弹性工作，上下班不打卡;零食水果下午茶;技术驱动型企业,2022-02-22 14:59:29,,,,"职位描述： 
1、推进计算机视觉和深度学习领域的核心算法； 
2、构建计算机视觉或深度学习领域的关键应用； 
3、将最好的算法在有趣有用的商业场景中落地。  
 
职位要求： 
1、2022届本科及以上学历； 
2、过硬的科研背景：深度学习/机器学习；计算机视觉（包括分类，检测，分割，跟踪，SLAM和三维重建）；图像或信号处理；计算摄影学和计算机图形学;  
3、扎实的编程基础； 
4、熟悉本研究领域的最新研究成果，公开数据集，和相关的开源系统； 
5、有很强的自学能力和独立思考能力，善于思考和表达自己的想法；同时又具备良好的团队合作精神； 
6、熟悉 Python 等至少一门脚本语言，使用过 Theano, Caffe, Torch, TensorFlow 等开源深度学习框架优先；  
7、有深度模型训练，图像分类、物体检测与分割、视频分析、三维建模、计算机图形学等相关科研经历者（例如顶级会议第一作者）优先。 ",中文,2022-05-31,全国（北京，上海，成都）,https://www.shixiseng.com/intern/inn_gx0kkimvw19z?pcm=pc_SearchList
互联网/IT,技术,技术,系统架构工程师,inn_pf6cf0u308wx,14000,20000,应届生,,本科,五险一金;地铁周边;免费健身房;定期团建;免费咖啡,机器学习;OCR;Linux;Java;TCP;HTTP;Python,诺诺网络,com_zku7csfvt4yz,企业互联网创新服务平台,互联网/游戏/软件,民营企业,150-500人,杭州,行业前景好;领导好相处;硬核资源;国企 央企;留用转正机会,2021-09-01 19:34:08,,,,"sp面议
岗位要求：
1、掌握操作系统知识，尤其是内存、线程、进程；
2、掌握计算网络知识，尤其是TCP、HTTP；
3、熟悉C/C++、PYTHON、JAVA一门及以上的编程语言；
4、熟悉常用数据结构与算法；
5、熟悉基本的Linux命令。
 
根据面试情况分配定岗，包括：系统运维、大数据运维、数据库运维（DBA）、运维开发、中间件开发、大数据开发、算法、Python开发、安全测试、安全运维、OCR开发、机器学习等。
 
 
福利多多：
「五险一金，试用期全薪，通讯补贴，高温补贴，带薪年假」都是基本操作~
「节假日福利，生日福利，定期体检，健身房」给你人性化的关怀~
「年终奖1-6月，每年1~2次职级晋升和调薪，专业与管理双通道晋升」给你展现能力的舞台~",中文,2022-06-30,西湖区金色西溪A座7-8楼,https://www.shixiseng.com/intern/inn_pf6cf0u308wx?pcm=pc_SearchList
互联网/IT,技术,移动开发,碳阻迹-后端开发工程师,inn_9dzxr6sehqle,面议,面议,应届生,,本科,体面的收入;全额社保福利;健康关怀保险;年度贡献奖金;工作生活弹性;前瞻碳中和视野;个人社会价值感;多元化行业认知,计算机,高瓴联合校招,com_pbqo5lj7uxdl,高瓴联合校招先进制造专场,不限,民营企业,150-500人,全国,,2022-03-15 10:22:30,,,,"职位描述：
1、负责SaaS平台产品的研发
2、负责相关模块的开发和改进，保证系统性能和稳定性，深入理解业务需求，提供具体问题的解决方案
3、按照项目计划，按时提交高质量代码，完成开发任务
4、规范文档的编写、维护，以及其他与项目相关工作
 
任职要求：
1、本科学历或以上，计算机、软件、电子、自动化等专业
2、熟练掌握数据结构、具有较好JavaIO、多线程、网络等方面的编程能力，掌握常用的设计模式；了解JVM的原理，包括内存模型、类加载机制以及性能优化
3、精通SpringMvc、SpringBoot、MyBatis等主流开源框架，对优秀开源软件的源码有心得者优先
4、精通数据库设计，优秀的SQL编写及调优能力，熟悉常见NoSQL存储，如Hbase、Memcached、Redis、Mongodb等
5、熟悉常见的中间件、分布式解决方案及其原理：分布式缓存、SOA、消息中间件，负载均衡、连接池等
6、具有很强的分析和解决复杂问题的能力，有强烈的责任心和使命感，良好的沟通表达能力和团队协作能力
 
薪资待遇：
体面的收入、全额社保福利保障、健康关怀保险计划、年度贡献Bonus、共同目标的小伙伴、咖啡管够零食管饱、工作生活弹性切换、Open的个人发展机会、有趣的TeamBuilding时光、前瞻的碳中和视野、个人社会价值感、多元化行业及产品认知、参与行业前沿workshop、参与国家行业标准制定、引领国家实现双碳目标",中文,2022-04-30,,https://www.shixiseng.com/intern/inn_9dzxr6sehqle?pcm=pc_SearchList
互联网/IT,技术,技术管理,万象生-招商管理岗,inn_84eawveymstb,面议,面议,应届生,,本科,六险一金;带薪年假病假;通讯补贴;住房补贴或宿舍;食堂和下午茶;年度体检;节日礼物;购房优惠;门店消费折扣,英语六级;WORD;EXCEL;POWERPOINT,华润万象生活,com_2llhwefzrdtd,世界500强企业华润集团旗下战略业务单元华润置地的成员公司,房产/家居/物业/建筑,国有企业,2000人以上,全国,每日精美下午茶;超速成长;世界500强;高大上办公环境;公司健身房,2021-09-30 16:33:55,,"1. 对商业地产业态进行分析研究，梳理完善商业运营管理体系；
2. 商业项目定位及策划，统筹商业项目运营计划与运营指标的顺利实施；
3. 负责商业地产项目的招商管理工作，制定招商工作计划，并对招商过程进行管控，重点推动各业种业态的招商引进、商务洽谈以及合同签订。","1. 学历及专业：本科及以上学历，工商管理、市场营销、经济学、国际贸易等相关专业优先；
2. 知识与技能：具备良好的时尚品味以及品牌感知力，对商业运营感兴趣，沟通表达能力、理解应变及逻辑思维能力佳
3. 外语技能：英语六级及以上水平，可用英语作为商务洽谈语言
4. 办公技能：熟练掌握WORD、EXCEL、POWERPOINT等办公软件以及CAD软件。","【工作职责】
1. 对商业地产业态进行分析研究，梳理完善商业运营管理体系；
2. 商业项目定位及策划，统筹商业项目运营计划与运营指标的顺利实施；
3. 负责商业地产项目的招商管理工作，制定招商工作计划，并对招商过程进行管控，重点推动各业种业态的招商引进、商务洽谈以及合同签订。
【任职资格】
1. 学历及专业：本科及以上学历，工商管理、市场营销、经济学、国际贸易等相关专业优先；
2. 知识与技能：具备良好的时尚品味以及品牌感知力，对商业运营感兴趣，沟通表达能力、理解应变及逻辑思维能力佳
3. 外语技能：英语六级及以上水平，可用英语作为商务洽谈语言
4. 办公技能：熟练掌握WORD、EXCEL、POWERPOINT等办公软件以及CAD软件。",中文,2022-06-30,深圳,https://www.shixiseng.com/intern/inn_84eawveymstb?pcm=pc_SearchList
互联网/IT,技术,通信技术,硬件测试工程师,inn_hmkx7wuvfymn,9000,11000,应届生,,本科,五险一金;下午茶;免费健身房;周末双休;节日福利;弹性工作;提供住宿,功能测试;黑盒测试;硬件测试;白盒测试,ePropulsion,com_vzqezlntwzkj,国内自主研发制造电动船外机的公司，致力于创造环保高效的水上出行及水下机器人产品。,电子/通信/硬件,中外合资企业,150-500人,广东,环境保护;有活力;员工健身房;实习证明;直接参与项目;弹性时间;科技;员工宿舍;巨大成长空间;可留用,2022-03-25 16:56:58,"
	 
","
	1、 根据电路原理及功能，制定测试方案，跟踪测试执行情况，完善测试方案；


	2、 制定测试大纲和流程规范；


	3、 依据测试大纲执行具体的测试任务，输出相应测试报告，并对测试结果负责；


	4、 复现并验证测试出现的bug以及缺陷，推动问题解决，记录并验证改善结果；


	5、 为相关部门提供相应的技术支持。
","
	教育背景：本科及以上学历，理工科相关专业背景；


	技能要求：


	1、熟悉测试工作的相关流程及要求&semi;


	2、能独立进行测试计划、测试报告的编制&semi;


	3、掌握系统测试的基本方法，有驱动器或家用电器相关测试经验；


	4、能够看懂电路原理图，能根据不同电路制定不同的测试方案；


	能力素质要求:


	1、有较强的逻辑分析能力和独立解决问题的能力；


	2、良好的人际沟通能力和团队合作精神；能承受一定的工作压力。


	 
","
	 


	岗位职责


	1、 根据电路原理及功能，制定测试方案，跟踪测试执行情况，完善测试方案；


	2、 制定测试大纲和流程规范；


	3、 依据测试大纲执行具体的测试任务，输出相应测试报告，并对测试结果负责；


	4、 复现并验证测试出现的bug以及缺陷，推动问题解决，记录并验证改善结果；


	5、 为相关部门提供相应的技术支持。


	任职要求


	教育背景：本科及以上学历，理工科相关专业背景；


	技能要求：


	1、熟悉测试工作的相关流程及要求&semi;


	2、能独立进行测试计划、测试报告的编制&semi;


	3、掌握系统测试的基本方法，有驱动器或家用电器相关测试经验；


	4、能够看懂电路原理图，能根据不同电路制定不同的测试方案；


	能力素质要求:


	1、有较强的逻辑分析能力和独立解决问题的能力；


	2、良好的人际沟通能力和团队合作精神；能承受一定的工作压力。


	 
",中文,2022-07-01,广东省东莞市松山湖园区新竹路4号松山湖国际机器人基地17栋1单元201室,https://www.shixiseng.com/intern/inn_hmkx7wuvfymn?pcm=pc_SearchList
互联网/IT,技术,销售技术支持,迪卡侬零售运动主管（未来经理/店长）--长沙,inn_l8gghqo62wz1,4000,6000,应届生,,不限,地铁周边;节日福利;定期体检;绩效奖金;五险一金;定期团建,体育;新零售,迪卡侬中国,com_ytxvhign4ifx,迪卡侬是一家专注大众运动市场，集运动产品设计、研发、生产、品牌、物流及零售于一体的全产业链集团。,快消/百货/批发/零售,外资企业,2000人以上,全国,爱运动;活力满满;年轻化的团队;专人带领;实习佳地;工作氛围活泼;快速晋升;发展迅速，空间大,2022-03-16 17:13:09,," 
迪卡侬零售运动主管（未来经理/店长）
 
 
 
在迪卡侬，我们尽全力，可持续地让大众共享运动欢益！！在全球我们近10万名员工在全产业链的岗位上努力工作，致力于为全球近60个国家，1600多家门店的当地运动爱好者提供出色的产品及服务。
 
 
 
在迪卡侬，我们遇见热爱，遇见志同道合的伙伴！
 
 
我有机会成为部门经理，商场经理，城市经理，我可以发展为专家型人才，成为城市运动负责人，项目负责人，在某个领域推进全国/城市项目，我们凭实力主导决定自己的职业发展，我们自主选择对自己有意义的项目并全情投入，迎接挑战、敢于决策并创造价值！
 
 
 
工作职责
 
 
我自主管理所属运动，推动运动在本地市场的发展，实现更高的市场占有率和长期的价值创造。
 
 
我创造令人惊喜的体验来吸引运动用户/顾客再次到我们的商场。
 
 
热情主动服务，联结用户和顾客，传递运动快乐，提供顾客需要的运动产品或服务方案；
 
 
基于本地运动市场分析，制定本地产品线，定义目标顾客群体，商业策略及经济目标；
 
 
发展有趣活跃的运动社群，增加用户粘度;
 
 
基于销售数据，通过多种商业活动及积极销售，实现经济目标；
 
管理及整理货架陈列，库存，为顾客打造极致的购物体验；
 
 
确保营运期间的自身、顾客、货品、现金的安全。
 
 
 
发展计划
 
 
- 我可以发展成为管理型人才，带领团队推动城市和门店项目。我有机会成为部门经理，商场经理，城市经理，陪伴团队成员的成长，提升团队胜任力。招聘团队成员，帮助他们的提升工作技能；管理团队运营，提升工作效率。我所创造的价值将体现在顾客满意度、运动市场占有率，人才储备梯队等方面。；
 
 
- 我可以发展为专家型人才，成为城市运动负责人，项目负责人，在某个领域推进全国/城市项目；
 
 
- 我处于网状工作模式，全国项目合作机会中，不断开拓视野及思维、提升协同合作领导力；
 
 
- 我拥有面向全球、全国的全产业链工作机会 （品牌中心/工业采购/物流/电子商务/职能服务部门/其它城市门店等），助力我成为多元化人才。
 
 
迪卡侬倡导赋能管理、鼓励大家做决定，尊重个人发展意愿，为我量身定制的全方位的长期发展计划，将激发每个人在集团内的无限可能！
 
 
 
任职资格:
 "," 
 
-有一项长期从事的热爱的运动；
 
 
-乐于服务亲和力强，对人热情充满活力，脚踏实地确保结果；
 
 
-快速学习能力，责任心强，善于倾听，有团队合作精神；
 
 
-充满好奇心，乐于探索并能够做出合理的分析和判断；
 
 
-以执着的拼搏的状态全身心投入到一份事业而非一份工作中；
 
 
-适应零售行业工作早晚倒班的节奏，热爱并希望在零售行业长期发展；
 
 
-毕业时间为2021年6月至2022年7月。
 
 
 
工作时间：综合小时工作制（这不是一份朝九晚五的工作，根据门店营运要求排班）
 
 
20-40小时/每周（早晚班，周末及节假日轮休）。
 
 
 
 
 
薪酬福利
 
 
-基本薪资+月度奖金；
 
 
-领先全面的专业技能培训以及个人成长指导，丰富多元的职业发展空间；
 
 
-丰富多样的体育活动，当您购买迪卡侬产品享受8折；
 
 
 
 
毕业后还可享受：
 
 
-法定五险一金；
 
 
-年度利润分享；
 
 
-运动津贴；
 
 
-个人年度体检，
 
 
-入职当年即可享受12天的带薪年假，入职3年后享受15天带薪年假并逐年递增至20天；每年6天的全薪病假；
 
-保障您及家属（配偶和子女）的全面的商业医疗保险；
 
-新婚、新生儿及妇女节礼物；
 
 
-与公司共同发展，加入迪卡侬全球持股计划，成为公司股东。
 
 
 
招聘流程
 
 
 
 
 
简历投递->电话面试->面试->发放offer
 
 
 
 
 
 
备注：在工作职责实质内容不变的情况下，迪卡侬有权对职务名称进行形式上的调整。","岗位职责:
 
迪卡侬零售运动主管（未来经理/店长）
 
 
 
在迪卡侬，我们尽全力，可持续地让大众共享运动欢益！！在全球我们近10万名员工在全产业链的岗位上努力工作，致力于为全球近60个国家，1600多家门店的当地运动爱好者提供出色的产品及服务。
 
 
 
在迪卡侬，我们遇见热爱，遇见志同道合的伙伴！
 
 
我有机会成为部门经理，商场经理，城市经理，我可以发展为专家型人才，成为城市运动负责人，项目负责人，在某个领域推进全国/城市项目，我们凭实力主导决定自己的职业发展，我们自主选择对自己有意义的项目并全情投入，迎接挑战、敢于决策并创造价值！
 
 
 
工作职责
 
 
我自主管理所属运动，推动运动在本地市场的发展，实现更高的市场占有率和长期的价值创造。
 
 
我创造令人惊喜的体验来吸引运动用户/顾客再次到我们的商场。
 
 
热情主动服务，联结用户和顾客，传递运动快乐，提供顾客需要的运动产品或服务方案；
 
 
基于本地运动市场分析，制定本地产品线，定义目标顾客群体，商业策略及经济目标；
 
 
发展有趣活跃的运动社群，增加用户粘度;
 
 
基于销售数据，通过多种商业活动及积极销售，实现经济目标；
 
管理及整理货架陈列，库存，为顾客打造极致的购物体验；
 
 
确保营运期间的自身、顾客、货品、现金的安全。
 
 
 
发展计划
 
 
- 我可以发展成为管理型人才，带领团队推动城市和门店项目。我有机会成为部门经理，商场经理，城市经理，陪伴团队成员的成长，提升团队胜任力。招聘团队成员，帮助他们的提升工作技能；管理团队运营，提升工作效率。我所创造的价值将体现在顾客满意度、运动市场占有率，人才储备梯队等方面。；
 
 
- 我可以发展为专家型人才，成为城市运动负责人，项目负责人，在某个领域推进全国/城市项目；
 
 
- 我处于网状工作模式，全国项目合作机会中，不断开拓视野及思维、提升协同合作领导力；
 
 
- 我拥有面向全球、全国的全产业链工作机会 （品牌中心/工业采购/物流/电子商务/职能服务部门/其它城市门店等），助力我成为多元化人才。
 
 
迪卡侬倡导赋能管理、鼓励大家做决定，尊重个人发展意愿，为我量身定制的全方位的长期发展计划，将激发每个人在集团内的无限可能！
 
 
 
任职资格:
 
岗位要求
 
 
-有一项长期从事的热爱的运动；
 
 
-乐于服务亲和力强，对人热情充满活力，脚踏实地确保结果；
 
 
-快速学习能力，责任心强，善于倾听，有团队合作精神；
 
 
-充满好奇心，乐于探索并能够做出合理的分析和判断；
 
 
-以执着的拼搏的状态全身心投入到一份事业而非一份工作中；
 
 
-适应零售行业工作早晚倒班的节奏，热爱并希望在零售行业长期发展；
 
 
-毕业时间为2021年6月至2022年7月。
 
 
 
工作时间：综合小时工作制（这不是一份朝九晚五的工作，根据门店营运要求排班）
 
 
20-40小时/每周（早晚班，周末及节假日轮休）。
 
 
 
 
 
薪酬福利
 
 
-基本薪资+月度奖金；
 
 
-领先全面的专业技能培训以及个人成长指导，丰富多元的职业发展空间；
 
 
-丰富多样的体育活动，当您购买迪卡侬产品享受8折；
 
 
 
 
毕业后还可享受：
 
 
-法定五险一金；
 
 
-年度利润分享；
 
 
-运动津贴；
 
 
-个人年度体检，
 
 
-入职当年即可享受12天的带薪年假，入职3年后享受15天带薪年假并逐年递增至20天；每年6天的全薪病假；
 
-保障您及家属（配偶和子女）的全面的商业医疗保险；
 
-新婚、新生儿及妇女节礼物；
 
 
-与公司共同发展，加入迪卡侬全球持股计划，成为公司股东。
 
 
 
招聘流程
 
 
 
 
 
简历投递->电话面试->面试->发放offer
 
 
 
 
 
 
备注：在工作职责实质内容不变的情况下，迪卡侬有权对职务名称进行形式上的调整。",中文 英文,2023-03-11,迪卡侬,https://www.shixiseng.com/intern/inn_l8gghqo62wz1?pcm=pc_SearchList
互联网/IT,软件,软件,用户界面开发工程师（应届生）,inn_lkxzsncs7foi,12000,22000,应届生,毕业1年内,本科,商业险;餐补;交通补贴;通讯补贴;超长带薪年假;五险一金;年度旅游;定期体检;弹性工作;周末双休,QT;Linux/Unix;C++,东方晶源,com_f7u1gdbrwyby,深圳晶源信息技术有限公司为东方晶源微电子科技（北京）有限EDA软件产品中心,电子/通信/硬件,民营企业,150-500人,广东/深圳,公司体检;交通补贴;午餐补助;通讯补贴;超长带薪年假;年度旅游,2021-06-09 14:24:21,,"
	1. 基于Linux+QT的图形化编程开发


	2. 根据项目需求，完成软件设计以及功能实现


	3. 完成软件功能、性能的测试工作等
","
	1. 本科及以上学历，计算机相关专业，有扎实的软件基础知识


	2. 熟悉QT编程框架，熟悉使用QWidgets进行软件开发


	3. 熟悉Linux下多线程、内存管理机制等，具备Linux代码开发、调试和优化的能力


	4. 熟练掌握C/C++，对算法设计和数据结构有深刻理解


	5. 扎实C/C+语言功底和良好的面向对象和模块化的开发思维，熟悉cmake,shell编程等
","
	岗位职责：


	1. 基于Linux+QT的图形化编程开发


	2. 根据项目需求，完成软件设计以及功能实现


	3. 完成软件功能、性能的测试工作等


	任职要求：


	1. 本科及以上学历，计算机相关专业，有扎实的软件基础知识


	2. 熟悉QT编程框架，熟悉使用QWidgets进行软件开发


	3. 熟悉Linux下多线程、内存管理机制等，具备Linux代码开发、调试和优化的能力


	4. 熟练掌握C/C++，对算法设计和数据结构有深刻理解


	5. 扎实C/C+语言功底和良好的面向对象和模块化的开发思维，熟悉cmake,shell编程等
",不限,2022-06-09,深圳市福田区福保街道福保社区红棉道8号英达利科技数码园C座401,https://www.shixiseng.com/intern/inn_lkxzsncs7foi?pcm=pc_SearchList
互联网/IT,技术,技术管理,WebRTC服务端开发,inn_du0igjkryrbt,15000,25000,应届生,,本科,周末双休;下午茶,C/C++,声网,com_uq7ej5q9gvub,全球实时互动云服务开创者和领导者,互联网/游戏/软件,民营企业,500-2000人,上海市/上海,有挑战性;创业氛围好;重视员工价值;培训发展;上级同事很好;国际范儿,2021-08-20 16:23:29," 
 ","1、负责WebRTC后台数据上报和日志等相关工具开发
2、负责WebRTC后台运维，以及数据整理分析相关工作
3、负责WebRTC后台服务的功能需求开发
 ","1、本科及以上学历，计算机相关专业。熟悉Unix/Linux操作系统，熟悉Go/C++/nodejs等其中1到2种开发语言；
2、软件知识结构全面，基础扎实，熟悉常用数据结构与算法，熟悉计算机网路；
3、了解https，nginx，Kubernetes 、docker 、grpc、protobuf等技术，有实际项目经验者优先；
4、敢于接受挑战，性格开朗，有较强的团队合作精神，良好的沟通表达能力强，较强的问题分析能力；
 "," 
 
岗位职责：
1、负责WebRTC后台数据上报和日志等相关工具开发
2、负责WebRTC后台运维，以及数据整理分析相关工作
3、负责WebRTC后台服务的功能需求开发
 
岗位要求：
1、本科及以上学历，计算机相关专业。熟悉Unix/Linux操作系统，熟悉Go/C++/nodejs等其中1到2种开发语言；
2、软件知识结构全面，基础扎实，熟悉常用数据结构与算法，熟悉计算机网路；
3、了解https，nginx，Kubernetes 、docker 、grpc、protobuf等技术，有实际项目经验者优先；
4、敢于接受挑战，性格开朗，有较强的团队合作精神，良好的沟通表达能力强，较强的问题分析能力；
 ",中文,2022-05-01,上海市杨浦区创智天地3期11号,https://www.shixiseng.com/intern/inn_du0igjkryrbt?pcm=pc_SearchList
互联网/IT,技术,数据分析,参考数据管理专员 - 北京,inn_u0ewisn8tlca,面议,面议,应届生,,本科,五险一金;商业险;五险一金;节日福利;年终奖;实习津贴,护理临床类专业;医疗类相关专业;临床类相关专业;公共卫生类专业;生物统计类专业;医药相关专业,IQVIA艾昆纬,com_owoi4hiworha,IQVIA是一家提供综合信息和技术解决方案的公司，致力于推动医疗健康行业的发展进程。世界各地的利益相,医疗/健康/制药/生物,外资企业,500-2000人,上海市/上海,能学到东西;帮助学生成长;签实习协议;全美500强;CRO行业;医药行业咨询,2021-09-18 20:12:15,,,,"Responsibility:
 
 
1. Standardize pharmaceutical product information based on sufficient desk research and profound product knowledge;
2. Apply pharmacological knowledge and international classification guidelines for pharmaceutical industry as well as IQVIA internal standards to complete product classification and multiple attribute maintenance;
3. Closely work with global teams to support any other product standardization which are necessary for data report delivery;
4. Liaise with Commercial teams to provide prompt and precise feedback to product queries raised by clients;
5. Consistently support the team to fine-tune workflow and improve performance.
 
 
 
Requirement:
 
 
1.	Bachelor’s degree in pharmaceutics, medical science or related discipline;
2.	Good knowledge of pharmacology, and good sense on the development and trend of the pharmaceutical industry;
3.	Fluent in written English;
4.	Organized, detailed-oriented and accountable; quick learner and team player;
5.	Frequent user of Excel and knowledge of database applications like FoxPro and Access is preferred.",不限,2022-06-30,北京市东城区王府井大街 138 号新东安广场 3 座,https://www.shixiseng.com/intern/inn_u0ewisn8tlca?pcm=pc_SearchList
互联网/IT,技术,销售技术支持,交付专家,inn_lmox7l1wztjx,面议,面议,应届生,,本科,扁平化管理,有客户服务意识,理想汽车,com_hdldheoezzqx,理想汽车成立于2015年7月，致力于用科技改变出行，让更多人受益。,互联网/游戏/软件,民营企业,2000人以上,北京市,新造车势力;互联网;行业前景好,2021-10-20 11:27:05,, ,,"岗位职责：
 
任职资格：",中文,2022-10-01,北京市顺义区理想汽车研发总部,https://www.shixiseng.com/intern/inn_lmox7l1wztjx?pcm=pc_SearchList
互联网/IT,技术,技术管理,工艺工程师,inn_gyzzr35eic0p,8000,13000,应届生,,本科,提供住宿;朝九晚五;带薪年假;定期团建;周末双休;朝九晚五;五险一金,办公软件;CAD,驭能科技,com_k4jzh3vjrfuf,深圳驭能科技有限工时新材料研发、生产及销售的技术型公司，产品主要应用于消费电子、新能源汽车及光伏等行,汽车/机械/制造,民营企业,50-150人,广东/深圳,朝九晚五;团建& 一金;年假;五险& 氛围;晋升空间好;公司前景好,2021-11-16 14:09:58,,,,"1、负责监督实施和制定生产工艺
2、掌握工艺流程并分析和解决生产中遇到的工艺问题，制定工艺标准。
3、负责试产和量产设备参数调试、验证和异常改善。      
4、对现有生产线提出自动化和信息化水平提升的方案或建议。
 
任职要求： 
1、 材料、自动化、机械和电子相关专业 
2、本科学历、应届毕业生
3、熟练使用Office，会使用CAD，MINITAB等技术类软件优先。",中文,2022-06-30,深圳市坪山区兰竹东路多彩科技园,https://www.shixiseng.com/intern/inn_gyzzr35eic0p?pcm=pc_SearchList
