公司简称,公司全称,公司性质,公司规模,公司所在行业,JD数量,公司所在地_1,公司所在地_2,公司排序
,信雅达,民营企业/股份制企业,2000人以上,软件/互联网/游戏,193,广东省/浙江/山东省/辽宁省,杭州/沈阳市/东莞市/青岛市,5
,倍锡咨询,民营企业,少于15人,企业服务/咨询,9,上海,上海,10
,健世科技,股份制企业,150-500人,生物/健康/制药/医疗,134,浙江,宁波,7
,健合集团,外资企业,2000人以上,快消/百货/批发/零售,58,广东,广州,5
,健海科技,民营企业,150-500人,医疗/健康/制药/生物,59,浙江,杭州,7
,健顺投资,民营企业,15-50人,金融/经济/投资/财会,18,上海,上海,9
,健鼎,外资企业,2000人以上,电子/通信/硬件,133,江苏,无锡,5
,像素软件,,150-500人,互联网/游戏/软件,51,北京,北京,7
,儒彩打印设备,民营企业,50-150人,贸易/交通/物流,12,上海,上海,8
,元企玖信,民营企业,15-50人,投资/经济/财会/金融,53,江苏,苏州,9
,元化智能科技,外资企业,15-50人,生物/健康/制药/医疗,40,广东,深圳,9
,元拓文化,民营企业,15-50人,广告/传媒/公关/展览,1,湖南,长沙,9
,元李服装,股份制企业,少于15人,快消/百货/批发/零售,50,北京,北京,10
,元知科技,民营企业,2000人以上,互联网/游戏/软件,7,北京,北京,5
,元联基金,股份制企业,15-50人,金融/经济/投资/财会,31,江苏,苏州,9
,元象Xverse,民营企业,50-150人,软件/互联网/游戏,471,广东,深圳市,8
,元齐投资,民营企业,少于15人,金融/经济/投资/财会,25,上海,上海,10
,兄弟Brother,外资企业,150-500人,软件/互联网/游戏,171,浙江,杭州市,7
,兆信股份,民营企业,150-500人,软件/互联网/游戏,55,全国,,7
,兆千丰照明,民营企业,50-150人,汽车/机械/制造,3,广东,佛山,8
,兆维互联,民营企业,50-150人,互联网/游戏/软件,17,天津,天津,8
,兆锋广告,民营企业,15-50人,广告/传媒/公关/展览,17,上海市,,9
,兆驰,股份制企业,2000人以上,电子/通信/硬件,7,广东,深圳,5
,先导智能,民营企业,2000人以上,电子/通信/硬件,6,江苏,无锡,5
,先达,外资企业,150-500人,交通/贸易/物流,9,上海,上海,7
,先邦智能科技(郑州)有限公司,民营企业,15-50人,企业服务/咨询,24,河南,郑州市,9
,光与盐创意,民营企业,少于15人,广告/传媒/公关/展览,20,北京,北京,10
,光为科技,民营企业,50-150人,电子/通信/硬件,12,广东,广州,8
,光合植造,民营企业,少于15人,快消/百货/批发/零售,9,上海,上海,10
,光大科技,国有企业,500-2000人,电子/通信/硬件,7,北京,北京,6
,光宇游戏,民营企业,500-2000人,软件/互联网/游戏,85,四川/北京,四川/北京,6
,光希化妆品,民营企业,50-150人,电子/通信/硬件,9,广东,广州,8
,光庭信息,股份制企业,500-2000人,软件/互联网/游戏,286,湖北省,武汉市,6
,光明乳业,国有企业,2000人以上,快消/百货/批发/零售,11,上海,上海,5
,光明乳品,国有企业,15-50人,食品/饮料/烟酒/日化,7,上海,上海,9
,光洋新材,外资企业,150-500人,化工/能源/环保,8,江苏,苏州,7
,光线云,民营企业,50-150人,软件/互联网/游戏,57,浙江,杭州,8
,光色科技,民营企业,15-50人,制造/汽车/机械,74,上海,上海,9
,光辉城市,民营企业,150-500人,互联网/游戏/软件,17,全国,,7
,克里斯曼森,民营企业,少于15人,快消/百货/批发/零售,4,北京,北京,10
,克里斯沃肯(厦门)科技有限公司,民营企业,15-50人,不限,9,福建,厦门,9
,克鲁勃润滑剂,外资企业,150-500人,化工/能源/环保,32,上海市,市辖区,7
,兑观科技,民营企业,15-50人,软件/互联网/游戏,79,上海,上海,9
,全云互联,民营企业,50-150人,互联网/游戏/软件,31,上海,上海,8
,全亿健康,民营企业,2000人以上,医疗/健康/制药/生物,6,江苏,苏州,5
,全民钱包,民营企业,150-500人,金融/经济/投资/财会,7,广东,广州市,7
,八局电务,国有企业,500-2000人,交通/贸易/物流,3,四川,四川,6
,八戒财税,民营企业,500-2000人,互联网/游戏/软件,11,重庆,,6
,八方游戏,民营企业,50-150人,互联网/游戏/软件,52,广东,茂名,8
,公司宝,民营企业,150-500人,企业服务/咨询,10,广东省,广州市,7
,公安部三所,事业单位,2000人以上,公共事业/NGO/政府,10,上海,上海,5
,公路商店,社会团体,50-150人,互联网/游戏/软件,10,北京,北京,8
,六一科技,民营企业,2000人以上,软件/互联网/游戏,166,广东,广州,5
,六九海创,民营企业,50-150人,农林牧渔/其他,60,天津,天津,8
,六安钢铁,民营企业,2000人以上,互联网/游戏/软件,30,安徽,六安,5
,兰亭集势,民营企业,500-2000人,软件/互联网/游戏,307,上海,上海,6
,兰宝传感科技,股份制企业,150-500人,电子/通信/硬件,80,上海,上海,7
,兰州正大,外资企业,500-2000人,农林牧渔/其他,56,甘肃,兰州,6
,共拓科技,民营企业,50-150人,不限,37,四川,四川,8
,共达地,民营企业,50-150人,软件/互联网/游戏,32,广东,深圳,8
,兴三星,民营企业,500-2000人,制造/汽车/机械,76,浙江,嘉兴,6
,兴业地产,国有企业,2000人以上,房产/家居/物业/建筑,5,广东,广州,5
,兴源环境,民营企业,500-2000人,环保/化工/能源,104,浙江,杭州,6
,兴齐眼药,民营企业,500-2000人,生物/健康/制药/医疗,43,全国,,6
,其域创新,民营企业,15-50人,软件/互联网/游戏,49,广东,深圳,9
,典韵律师事务所,民营企业,少于15人,企业服务/咨询,7,上海,上海,10
,兼善禾,民营企业,少于15人,企业服务/咨询,7,四川,四川,10
,冀东国贸,国有企业,150-500人,交通/贸易/物流,14,北京,北京,7
,冀荣药业,民营企业,50-150人,生物/健康/制药/医疗,84,河北,石家庄,8
,内外,民营企业,500-2000人,快消/百货/批发/零售,16,上海,上海,6
,内蒙古赛科星牧业有限公司,民营企业,150-500人,农林牧渔/其他,4,内蒙古,呼和浩特,7
,军星管业集团,民营企业,500-2000人,汽车/机械/制造,27,天津,天津,6
,农安牧原,股份制企业,2000人以上,农林牧渔/其他,1,吉林,长春,5
,农汇网,民营企业,15-50人,互联网/游戏/软件,10,成都,成都,9
,冠准科技,民营企业,50-150人,互联网/游戏/软件,17,陕西,西安,8
,冯源资本,民营企业,15-50人,电子/通信/硬件,24,北京,北京,9
,冰川网络,民营企业,500-2000人,软件/互联网/游戏,228,广东省,深圳市,6
,冰糖橙影业,民营企业,15-50人,影视/媒体/艺术/文化/出版,24,北京,北京,9
,净空自然环保,民营企业,15-50人,环保/化工/能源,56,安徽,合肥,9
,准动网络,民营企业,500-2000人,互联网/游戏/软件,18,福建,厦门,6
,凌华微电子,股份制企业,50-150人,电子/通信/硬件,3,江苏,南京,8
,凌巨科技,股份制企业,15-50人,软件/互联网/游戏,82,浙江,嘉兴,9
,凌志软件,股份制企业,500-2000人,互联网/游戏/软件,12,江苏省,苏州市,6
,减肥达人,民营企业,150-500人,医疗/健康/制药/生物,10,广东,深圳,7
,凝聚永恒,民营企业,50-150人,互联网/游戏/软件,35,四川,四川,8
,几光,民营企业,150-500人,软件/互联网/游戏,104,广东,广州,7
,凡塔斯,民营企业,500-2000人,餐饮/酒店/旅游/娱乐,36,广东省,东莞市,6
,凡岛化妆品,民营企业,2000人以上,不限,185,广东,广州市,5
,凡岛网络,民营企业,2000人以上,软件/互联网/游戏,887,广东,广州,5
,凡拓创意,民营企业,500-2000人,房产/家居/物业/建筑,21,上海,上海,6
,凤凰创壹,民营企业,150-500人,软件/互联网/游戏,22,福建,厦门,7
,凯丰投资,民营企业,50-150人,投资/经济/财会/金融,96,广东省,深圳市,8
,凯尔伦生物,民营企业,少于15人,生物/健康/制药/医疗,10,天津,天津,10
,凯尔科技,民营企业,50-150人,环保/化工/能源,64,北京,北京,8
,凯德嘉瑞,民营企业,50-150人,贸易/交通/物流,48,浙江,杭州,8
,凯泰资本,合伙企业,15-50人,投资/经济/财会/金融,80,浙江,杭州,9
,凯洛格咨询集团,民营企业,150-500人,咨询/企业服务,69,北京,北京,7
,凯琳美容科技,民营企业,15-50人,医疗/健康/制药/生物,2,广东,广州,9
,凯联资本集团,民营企业,150-500人,金融/经济/投资/财会,26,北京,北京,7
,凯银家族办公室,民营企业,15-50人,金融/经济/投资/财会,22,上海,上海,9
,出众集团,民营企业,150-500人,旅游/酒店/餐饮/娱乐,155,北京市/广东省/上海市,佛山市,7
,出口成章,民营企业,50-150人,互联网/游戏/软件,330,辽宁,大连,8
,出类资本,民营企业,少于15人,金融/经济/投资/财会,7,上海,上海,10
,分之道,合伙企业,150-500人,教育/培训,24,全国,,7
,列拓科技,民营企业,15-50人,电子/通信/硬件,6,湖南,,9
,创世蓝海,民营企业,15-50人,传媒/广告/展览/公关,10,北京,北京,9
,创仕鼎电子,国有企业,150-500人,电子/通信/硬件,33,广东,深圳,7
,创企企业服务,民营企业,15-50人,教育/培训,9,广东,广州,9
,创品广告,民营企业,15-50人,广告/传媒/公关/展览,11,上海,上海,9
,创库设计（CKAP）,民营企业,50-150人,房产/家居/物业/建筑,20,广东,深圳,8
,创度空间,民营企业,15-50人,快消/百货/批发/零售,14,辽宁,营口,9
,创新奇智,民营企业,150-500人,不限,4,北京,北京,7
,创氏巴巴教育,民营企业,15-50人,互联网/游戏/软件,51,陕西,西安,9
,创知科技,民营企业,15-50人,传媒/广告/展览/公关,188,天津,天津,9
,创通联达,外资企业,150-500人,软件/互联网/游戏,61,重庆,市辖区,7
,创酷互动,民营企业,500-2000人,软件/互联网/游戏,27,广东,广州,6
,创金合信,民营企业,150-500人,金融/经济/投资/财会,28,北京市,市辖区,7
,创驰恒业,社会团体,15-50人,电子/通信/硬件,36,北京,北京,9
,初炫电力,民营企业,15-50人,不限,40,河北,石家庄,9
,利信和科技,民营企业,少于15人,电子/通信/硬件,8,天津,天津,10
,利博盛,民营企业,500-2000人,快消/百货/批发/零售,18,上海,上海,6
,利尔达,股份制企业,500-2000人,互联网/游戏/软件,13,广东省,深圳市,6
,利斯洋公司,民营企业,少于15人,电子/通信/硬件,10,北京,北京,10
,利昂软件,民营企业,15-50人,软件/互联网/游戏,47,福建省,福州市,9
,利来汽配,民营企业,150-500人,汽车/机械/制造,40,江苏,苏州,7
,利物资本,民营企业,少于15人,金融/经济/投资/财会,7,北京,北京,10
,前晨汽车科技,民营企业,150-500人,汽车/机械/制造,48,上海,上海,7
,前海亚讯,民营企业,500-2000人,软件/互联网/游戏,79,陕西,西安,6
,前海创新研究院,民营企业,15-50人,公共事业/NGO/政府,6,广东省,深圳市,9
,前海开源基金,民营企业,150-500人,投资/经济/财会/金融,83,广东省/海南省/陕西省,深圳市/西安市/省直辖县级行政区划,7
,力合科创,国有企业,500-2000人,金融/经济/投资/财会,10,广东,深圳,6
,力合租赁,民营企业,50-150人,金融/经济/投资/财会,7,上海,上海,8
,力天世技,民营企业,少于15人,电子/通信/硬件,37,北京,北京,10
,力新仪器(上海)有限公司,外资企业,500-2000人,生物/健康/制药/医疗,14,上海,上海,6
,力新国际,外资企业,50-150人,互联网/游戏/软件,41,陕西省,西安市,8
,动因体育,民营企业,2000人以上,培训/教育,35,广东/全国,广州,5
,动脉网,民营企业,15-50人,软件/互联网/游戏,53,北京,北京,9
,动车物资,民营企业,50-150人,贸易/交通/物流,6,广东,深圳,8
,劲邦资本,民营企业,15-50人,投资/经济/财会/金融,35,上海,上海,9
,劲霸男装,民营企业,2000人以上,快消/百货/批发/零售,294,上海,上海,5
,勒海芙文艺,股份制企业,少于15人,广告/传媒/公关/展览,17,上海,上海,10
,勤创,民营企业,500-2000人,咨询/企业服务,57,河北,保定,6
,勾勾互娱,民营企业,15-50人,传媒/广告/展览/公关,8,广东,广州,9
,北京SKP,合伙企业,500-2000人,快消/百货/批发/零售,27,北京,北京,6
,北京一多奇思信息科技有限公司,民营企业,150-500人,互联网/游戏/软件,15,北京,北京,7
,北京中公教育科技有限公司,民营企业,2000人以上,培训/教育,28,辽宁,沈阳,5
,北京中航信柏润科技有限公司,国有企业,150-500人,不限,79,北京,北京,7
,北京乾诚有义,民营企业,15-50人,咨询/企业服务,52,北京,北京,9
,北京亨通,民营企业,50-150人,化工/能源/环保,17,北京,北京,8
,北京仕邦达,外资企业,50-150人,咨询/企业服务,22,上海,上海,8
,北京创想天下科技有限公司,民营企业,15-50人,交通/贸易/物流,12,北京,北京,9
,北京华联,民营企业,2000人以上,快消/百货/批发/零售,1,北京,北京,5
,北京华联超市,股份制企业,2000人以上,快消/百货/批发/零售,27,全国,,5
,北京博雅学校,民营企业,150-500人,教育/培训,9,北京,北京,7
,北京呈天网络科技股份有限公司,股份制企业,50-150人,互联网/游戏/软件,35,北京,北京,8
,北京四维纵横数据技术有限公司,民营企业,15-50人,软件/互联网/游戏,50,北京,北京,9
,北京四达时代集团,民营企业,2000人以上,互联网/游戏/软件,166,北京,北京,5
,北京塞拉维文化传媒有限公司,民营企业,15-50人,广告/传媒/公关/展览,35,河北,石家庄,9
,北京大数据研究院,社会团体,150-500人,公共事业/政府/NGO,30,北京,北京,7
,北京市创世宏景专利商标代理,民营企业,15-50人,企业服务/咨询,35,北京,北京,9
,北京希电,民营企业,150-500人,不限,6,北京,北京,7
,北京必沃信息,民营企业,少于15人,金融/经济/投资/财会,31,北京,北京,10
,北京怀柔仪器和传感器有限公司,国有企业,50-150人,企业服务/咨询,47,北京,北京,8
,北京明希资本,民营企业,15-50人,投资/经济/财会/金融,13,北京,北京,9
,北京星震同源公司福建分公司,股份制企业,150-500人,不限,6,福建,福州,7
,北京术锐,民营企业,50-150人,生物/健康/制药/医疗,223,北京,北京,8
,北京海淀外国语实验学校,,2000人以上,教育/培训,2,北京,北京,5
,北京清博智能科技有限公司,民营企业,500-2000人,互联网/游戏/软件,40,北京,北京,6
,北京玮航科技,民营企业,15-50人,制造/汽车/机械,9,北京,北京,9
,北京环球主题公园,外资企业,2000人以上,餐饮/酒店/旅游/娱乐,16,北京,北京,5
,北京电信发展有限公司,股份制企业,2000人以上,电子/通信/硬件,2,北京,北京,5
,北京知嘛文化在线教育平台,民营企业,150-500人,培训/教育,19,北京,北京,7
,北京科学技术出版社,国有企业,150-500人,传媒/广告/展览/公关,157,北京,北京,7
,北京精彩,民营企业,50-150人,传媒/广告/展览/公关,23,北京,北京,8
,北京脑中心,事业单位,150-500人,教育/培训,28,北京,北京,7
,北京萨莎文化传媒有限公司,事业单位,15-50人,广告/传媒/公关/展览,15,北京,北京,9
,北京都有科技有限公司,民营企业,50-150人,投资/经济/财会/金融,23,北京,北京,8
,北京阿香,民营企业,2000人以上,旅游/酒店/餐饮/娱乐,46,全国,,5
,北京首航国力商贸有限公司,民营企业,2000人以上,快消/百货/批发/零售,11,北京,北京,5
,北京高沃,民营企业,2000人以上,企业服务/咨询,23,河北,保定,5
,北京魔游天下科技有限公司,股份制企业,50-150人,互联网/游戏/软件,17,北京,北京,8
,北培,外资企业,500-2000人,教育/培训,12,北京,北京,6
,北塔软件,民营企业,150-500人,互联网/游戏/软件,9,上海,上海,7
,北大医信,民营企业,500-2000人,生物/健康/制药/医疗,626,北京市,市辖区,6
,北大培文国际教育研究院,民营企业,50-150人,教育/培训,4,北京,北京,8
,北控城市服务集团,国有企业,2000人以上,公共事业/NGO/政府,25,北京,北京,5
,北控水务学院,国有企业,2000人以上,环保/化工/能源,32,北京,北京,5
,北斗星通,股份制企业,2000人以上,电子/通信/硬件,7,北京,北京,5
,北斯网络,民营企业,少于15人,互联网/游戏/软件,13,上海,上海,10
,北方阀控,民营企业,150-500人,制造/汽车/机械,107,天津,天津,7
,北森,民营企业,500-2000人,软件/互联网/游戏,117,北京,北京,6
,北汽福田,民营企业,2000人以上,农林牧渔/其他,18,北京,北京,5
,北芯生命科技,股份制企业,150-500人,生物/健康/制药/医疗,43,广东,深圳,7
,北辰写字楼,国有企业,150-500人,不限,37,北京,北京,7
,北辰致远,民营企业,50-150人,快消/百货/批发/零售,25,广东,深圳,8
,北辰青年,民营企业,50-150人,教育/培训,2,广东,广州,8
,北醒光子,民营企业,50-150人,软件/互联网/游戏,483,北京,北京,8
,北风教育,股份制企业,150-500人,教育/培训,26,上海,上海,7
,匠域集团,民营企业,2000人以上,不限,51,福建,厦门,5
,匠寓,民营企业,150-500人,房产/家居/建筑/物业,54,辽宁,大连,7
,匠致科技,合伙企业,15-50人,金融/经济/投资/财会,4,全国,,9
,医智行,民营企业,50-150人,生物/健康/制药/医疗,21,湖南,长沙,8
,医林影像,民营企业,少于15人,医疗/健康/制药/生物,10,广东,深圳,10
,医药魔方,民营企业,150-500人,生物/健康/制药/医疗,579,北京,北京,7
,十沣科技,民营企业,50-150人,互联网/游戏/软件,107,广东,深圳,8
,千代贸易,民营企业,少于15人,互联网/游戏/软件,11,浙江,金华,10
,千兹,合伙企业,50-150人,汽车/机械/制造,5,广东,深圳,8
,千喜鹤,股份制企业,2000人以上,餐饮/酒店/旅游/娱乐,26,河北,石家庄,5
,千图网,民营企业,150-500人,互联网/游戏/软件,3,上海,上海,7
,千寻位置,民营企业,500-2000人,软件/互联网/游戏,305,上海,上海,6
,千良建筑,民营企业,500-2000人,房产/家居/建筑/物业,23,河南,郑州,6
,千里行,民营企业,2000人以上,快消/百货/批发/零售,15,山东,青岛,5
,半人科技,民营企业,15-50人,企业服务/咨询,12,北京,北京,9
,华一精品,民营企业,150-500人,电子/通信/硬件,34,广东,深圳,7
,华乐沁科技集团,民营企业,50-150人,互联网/游戏/软件,23,陕西,西安,8
,华云三维,股份制企业,15-50人,互联网/游戏/软件,20,山东,济南,9
,华人运通（高合汽车）,民营企业,2000人以上,制造/汽车/机械,1030,上海,上海,5
,华住集团,民营企业,2000人以上,餐饮/酒店/旅游/娱乐,18,江苏,苏州,5
,华信智创科技,民营企业,2000人以上,互联网/游戏/软件,14,重庆市,重庆,5
,华健体育,民营企业,15-50人,教育/培训,3,广东,广州,9
,华兆新能源,民营企业,15-50人,不限,4,广东,深圳,9
,华力智芯,民营企业,50-150人,电子/通信/硬件,6,四川,四川,8
,华南制造集团,民营企业,150-500人,不限,14,湖南,衡阳,7
,华卫恒源,民营企业,50-150人,生物/健康/制药/医疗,38,北京,北京,8
,华图教育,股份制企业,2000人以上,培训/教育,9,山西,太原,5
,华图新天,民营企业,50-150人,软件/互联网/游戏,16,北京,北京,8
,华埔装饰,民营企业,2000人以上,房产/家居/建筑/物业,76,河南,郑州,5
,华域车身,国有企业,2000人以上,汽车/机械/制造,16,上海,上海,5
,华声医疗,民营企业,150-500人,生物/健康/制药/医疗,678,广东,深圳,7
,华夏人艺,民营企业,500-2000人,软件/互联网/游戏,219,四川,四川,6
,华夏学院,事业单位,2000人以上,培训/教育,348,广东,广州,5
,华夏技校,民营企业,150-500人,教育/培训,9,广东,广州,7
,华夏电通,民营企业,150-500人,软件/互联网/游戏,37,北京,北京,7
,华大智宝,民营企业,150-500人,软件/互联网/游戏,82,北京,北京,7
,华大集团,民营企业,2000人以上,生物/健康/制药/医疗,43,广东,深圳,5
,华如防务,民营企业,50-150人,电子/通信/硬件,37,江苏,南京,8
,华孚,股份制企业,2000人以上,贸易/交通/物流,180,广东,深圳,5
,华宇元典,民营企业,150-500人,互联网/游戏/软件,13,北京,北京,7
,华宝新能,民营企业,500-2000人,电子/通信/硬件,32,广东,深圳,6
,华实浩瑞,合伙企业,少于15人,金融/经济/投资/财会,5,湖北,长春市,10
,华峰华锦,民营企业,2000人以上,不限,84,福建,莆田,5
,华峰科技,民营企业,50-150人,互联网/游戏/软件,6,北京,北京,8
,华峰集团,民营企业,2000人以上,化工/能源/环保,4,浙江,温州,5
,华工正源,民营企业,2000人以上,电子/通信/硬件,18,湖北省,武汉市,5
,华平投资,外资企业,150-500人,金融/经济/投资/财会,2,上海,上海,7
,华录智达,国有企业,150-500人,软件/互联网/游戏,17,辽宁,大连,7
,华意空间,民营企业,50-150人,房产/家居/物业/建筑,43,广西,南宁,8
,华意通,民营企业,50-150人,教育/培训,5,北京,北京,8
,华控清交,民营企业,150-500人,软件/互联网/游戏,46,北京,北京,7
,华新文化,股份制企业,少于15人,传媒/广告/展览/公关,23,北京,北京,10
,华旗,民营企业,15-50人,电子/通信/硬件,8,广东,深圳,9
,华是科技,股份制企业,150-500人,电子/通信/硬件,57,浙江,杭州,7
,华晨鑫源重庆汽车有限公司,股份制企业,2000人以上,制造/汽车/机械,63,重庆市,重庆,5
,华来科技,民营企业,150-500人,软件/互联网/游戏,46,天津,天津,7
,华杰东方装饰集团,股份制企业,500-2000人,房产/家居/物业/建筑,11,山东,淄博,6
,华欣电子,外资企业,50-150人,电子/通信/硬件,118,广东省,广州市,8
,华测检测认证集团北京有限公司,民营企业,2000人以上,环保/化工/能源,48,北京,北京,5
,华海科技,民营企业,50-150人,制造/汽车/机械,51,北京,北京,8
,华润万家,国有企业,2000人以上,快消/百货/批发/零售,96,广东,深圳,5
,华润万家上海公司,国有企业,2000人以上,快消/百货/批发/零售,82,上海,上海,5
,华润九新药业,国有企业,150-500人,医疗/健康/制药/生物,14,广东,深圳,7
,华润数科,国有企业,500-2000人,电子/通信/硬件,228,广东,深圳,6
,华润温州万象城,民营企业,150-500人,房产/家居/物业/建筑,19,浙江省,温州市,7
,华润电力深圳公司,国有企业,500-2000人,化工/能源/环保,45,广东,汕尾,6
,华润置地 ,国有企业,2000人以上,房产/家居/物业/建筑,12,河南,郑州市,5
,华润雪花啤酒(中国)有限公司,国有企业,2000人以上,快消/百货/批发/零售,13,全国,,5
,华源电力,民营企业,500-2000人,环保/化工/能源,46,北京,北京,6
,华燚云瑞,民营企业,15-50人,软件/互联网/游戏,52,北京,北京,9
,华玻视讯,民营企业,500-2000人,电子/通信/硬件,236,广东,珠海,6
,华益咨询,民营企业,50-150人,企业服务/咨询,12,上海,上海,8
,华盛,民营企业,15-50人,金融/经济/投资/财会,9,河北,石家庄,9
,华睿包装,民营企业,15-50人,快消/百货/批发/零售,5,浙江,杭州,9
,华福证券,国有企业,2000人以上,金融/经济/投资/财会,39,福建,厦门,5
,华福证券深圳后海大道营业部,国有企业,15-50人,金融/经济/投资/财会,84,广东,深圳,9
,华科精准,民营企业,50-150人,医疗/健康/制药/生物,16,北京,北京,8
,华美中国,外资企业,50-150人,金融/经济/投资/财会,13,上海,上海,8
,华翰英成,民营企业,50-150人,软件/互联网/游戏,18,北京,北京,8
,华联期货有限公司,国有企业,150-500人,投资/经济/财会/金融,90,广东,东莞市,7
,华能信托,国有企业,150-500人,金融/经济/投资/财会,5,北京,北京,7
,华能宝城物华,国有企业,15-50人,投资/经济/财会/金融,20,上海,上海,9
,华臻源,民营企业,150-500人,贸易/交通/物流,188,广东,广州,7
,华苏科技,民营企业,2000人以上,软件/互联网/游戏,115,广东省/陕西省/浙江省/山东省/北京市/河北省/福建省/江苏省,市辖区/西安市/杭州市/石家庄市/南京市,5
,华誉,民营企业,150-500人,电子/通信/硬件,7,上海,上海,7
,华讯网络,民营企业,500-2000人,电子/通信/硬件,338,上海,上海,6
,华诚创智,民营企业,15-50人,交通/贸易/物流,6,上海,上海,9
,华财,民营企业,500-2000人,金融/经济/投资/财会,7,全国,,6
,华贸中心,民营企业,500-2000人,房产/家居/物业/建筑,8,北京,北京,6
,华资软件,民营企业,500-2000人,软件/互联网/游戏,56,广东,广州,6
,华软咨询,民营企业,150-500人,企业服务/咨询,52,北京,北京,7
,华软科技,民营企业,500-2000人,环保/化工/能源,32,江苏,苏州,6
,华进知识产权,民营企业,500-2000人,咨询/企业服务,73,北京,北京,6
,华进联合,民营企业,500-2000人,企业服务/咨询,4,湖北,武汉,6
,华通金租,民营企业,50-150人,金融/经济/投资/财会,2,广东,珠海,8
,华道数据,股份制企业,2000人以上,金融/经济/投资/财会,6,江苏,徐州,5
,华钦科技,,500-2000人,互联网/游戏/软件,9,上海,上海,6
,华铁应急,民营企业,2000人以上,房产/家居/建筑/物业,38,浙江,杭州,5
,华阳国际设计集团广州公司,股份制企业,2000人以上,房产/家居/建筑/物业,313,广东,广州,5
,华阳多媒体,民营企业,2000人以上,制造/汽车/机械,37,广东,惠州市,5
,华韵,民营企业,500-2000人,生物/健康/制药/医疗,14,天津,天津,6
,华颐智能,民营企业,50-150人,软件/互联网/游戏,29,广东,深圳,8
,华鼎诺成,民营企业,150-500人,餐饮/酒店/旅游/娱乐,7,北京,北京,7
,协同,民营企业,150-500人,交通/贸易/物流,6,浙江,宁波,7
,卓华饮品,民营企业,15-50人,餐饮/酒店/旅游/娱乐,7,天津,天津,9
,卓品智能,民营企业,50-150人,汽车/机械/制造,13,江苏,无锡,8
,卓志集团,民营企业,500-2000人,互联网/游戏/软件,173,广东,广州,6
,卓思数据,股份制企业,150-500人,企业服务/咨询,23,北京,北京,7
,卓新文化,民营企业,15-50人,广告/传媒/公关/展览,17,上海,上海,9
,卓智,民营企业,150-500人,互联网/游戏/软件,11,安徽,合肥,7
,卓望公司,外资企业,2000人以上,电子/通信/硬件,84,北京,北京,5
,卓杭科技,股份制企业,150-500人,互联网/游戏/软件,55,四川,,7
,卓氏科技,民营企业,50-150人,医疗/健康/制药/生物,10,浙江,杭州,8
,卓煜建筑,民营企业,少于15人,企业服务/咨询,1,上海,上海,10
,卓识基金,民营企业,50-150人,金融/经济/投资/财会,20,北京,北京,8
,卓越创通,民营企业,15-50人,互联网/游戏/软件,12,山东,青岛,9
,卓铁铁路,民营企业,15-50人,贸易/交通/物流,152,河北,石家庄,9
,卓锐影视,民营企业,15-50人,广告/传媒/公关/展览,7,陕西,西安,9
,南京七宝,民营企业,50-150人,电子/通信/硬件,19,江苏,南京,8
,南京亿高,民营企业,500-2000人,医疗/健康/制药/生物,198,江苏,南京,6
,南京六小狐电商,民营企业,50-150人,快消/百货/批发/零售,13,江苏,南京,8
,南京凯鹏,股份制企业,少于15人,电子/通信/硬件,9,江苏,南京,10
,南京创研院,事业单位,50-150人,电子/通信/硬件,14,江苏,南京,8
,南京博涯信息技术有限公司,民营企业,15-50人,投资/经济/财会/金融,22,上海,上海,9
,南京原磊纳米材料有限公司,民营企业,50-150人,电子/通信/硬件,40,江苏,南京,8
,南京图荣,民营企业,少于15人,互联网/游戏/软件,4,江苏,南京,10
,南京安耐机械有限公司,民营企业,15-50人,汽车/机械/制造,4,江苏,,9
,南京德胜,民营企业,15-50人,互联网/游戏/软件,2,江苏,南京,9
,南京星邺汇捷,民营企业,150-500人,软件/互联网/游戏,15,江苏,南京,7
,南京海大大健康,民营企业,2000人以上,生物/健康/制药/医疗,34,江苏,南京,5
,南京溯离,民营企业,50-150人,互联网/游戏/软件,14,江苏,南京,8
,南京红豆信息技术有限公司,民营企业,50-150人,互联网/游戏/软件,17,江苏,南京,8
,南京茂泽,民营企业,150-500人,金融/经济/投资/财会,6,江苏,南京,7
,南京顶正,外资企业,150-500人,快消/百货/批发/零售,37,江苏,南京,7
,南侨食品,外资企业,500-2000人,快消/百货/批发/零售,10,上海,上海,6
,南华期货,股份制企业,500-2000人,投资/经济/财会/金融,98,浙江,杭州,6
,南复数据,民营企业,50-150人,软件/互联网/游戏,41,上海,上海,8
,南德意志大中华集团,外资企业,2000人以上,咨询/企业服务,280,上海,上海,5
,南方卫星导航,民营企业,500-2000人,电子/通信/硬件,81,广东,广州,6
,南方科技大学,事业单位,2000人以上,公共事业/NGO/政府,8,广东,深圳,5
,南方资本,股份制企业,50-150人,金融/经济/投资/财会,5,广东,深圳,8
,南昌新东方大学生学习与发展中心,民营企业,2000人以上,教育/培训,12,江西,南昌,5
,南昌正大,外资企业,150-500人,农林牧渔/其他,89,江西,南昌,7
,南油外服,国有企业,150-500人,企业服务/咨询,21,,,7
,南粤基金,民营企业,50-150人,金融/经济/投资/财会,7,广东省,广州市,8
,南航租赁,外资企业,50-150人,金融/经济/投资/财会,8,广东省,广州市,8
,南通商拓,社会团体,50-150人,金融/经济/投资/财会,28,江苏,南通,8
,南通欧洋水产,外资企业,50-150人,快消/百货/批发/零售,17,江苏,南通,8
