公司简称,公司全称,公司性质,公司规模,公司所在行业,JD数量,公司所在地_1,公司所在地_2,公司排序
,敦煌网,外资企业,500-2000人,软件/互联网/游戏,17,北京,北京,6
,数势科技,民营企业,150-500人,咨询/企业服务,72,北京,北京,7
,数字天空,民营企业,500-2000人,软件/互联网/游戏,449,四川,四川,6
,数字政通,股份制企业,500-2000人,软件/互联网/游戏,654,陕西省/重庆市/北京市/天津市/山西省/青海省/新疆维吾尔自治区/辽宁省/河北省/云南省/吉林省/贵州省/甘肃省,长春市/沈阳市/市辖区/西安市/昆明市/西宁市/乌鲁木齐市/石家庄市/兰州市/贵阳市/太原市,6
,数字浙江,合伙企业,150-500人,互联网/游戏/软件,105,浙江,杭州,7
,数智医疗,民营企业,50-150人,生物/健康/制药/医疗,59,广东省,深圳市,8
,数梦工场,民营企业,500-2000人,互联网/游戏/软件,25,浙江省,杭州市,6
,数牍科技,民营企业,150-500人,软件/互联网/游戏,36,北京,北京,7
,数科网维,民营企业,150-500人,互联网/游戏/软件,20,全国,,7
,数鹏通 ,民营企业,150-500人,软件/互联网/游戏,199,广东,广州,7
,整数科技,民营企业,15-50人,互联网/游戏/软件,7,浙江,杭州,9
,文亚,民营企业,50-150人,培训/教育,24,上海,上海,8
,文华财经,股份制企业,150-500人,软件/互联网/游戏,78,辽宁,大连,7
,文昌科技,股份制企业,150-500人,汽车/机械/制造,2,湖南,娄底,7
,文晔科技,外资企业,2000人以上,电子/通信/硬件,20,上海,上海,5
,文森特工作室,民营企业,少于15人,广告/传媒/公关/展览,14,上海,上海,10
,文特斯仪器,外资企业,15-50人,汽车/机械/制造,21,上海,上海,9
,文远知行,民营企业,150-500人,软件/互联网/游戏,74,广东/北京,广州/北京,7
,斯伯特,民营企业,500-2000人,快消/百货/批发/零售,49,山东,济南,6
,斯内尔,民营企业,15-50人,金融/经济/投资/财会,6,浙江,宁波,9
,斯明快,民营企业,少于15人,互联网/游戏/软件,10,四川,四川,10
,斯普瑞斯奥莱,民营企业,150-500人,快消/百货/批发/零售,25,北京,北京,7
,斯飞图,民营企业,50-150人,快消/百货/批发/零售,39,福建,泉州,8
,新七天,股份制企业,150-500人,软件/互联网/游戏,102,北京,北京,7
,新世界中国,外资企业,150-500人,房产/家居/建筑/物业,16,广东省,广州市,7
,新东方厦门学校,,500-2000人,教育/培训,38,福建省,厦门市,6
,新乡市太行养蜂专业合作社,民营企业,150-500人,快消/百货/批发/零售,22,河南,新乡,7
,新亦源,民营企业,500-2000人,交通/贸易/物流,16,广东,广州,6
,新代科技,外资企业,500-2000人,制造/汽车/机械,16,江苏,苏州,6
,新创元,民营企业,500-2000人,制造/汽车/机械,65,湖北,武汉,6
,新华教育集团,民营企业,2000人以上,培训/教育,66,安徽,合肥,5
,新域动量,民营企业,少于15人,企业服务/咨询,12,北京,北京,10
,新基茵,民营企业,15-50人,医疗/健康/制药/生物,4,江苏,苏州,9
,新夏教育,民营企业,50-150人,教育/培训,10,北京,北京,8
,新大洋造船,国有企业,2000人以上,汽车/机械/制造,43,江苏,扬州,5
,新大陆科技集团,民营企业,2000人以上,电子/通信/硬件,9,福建,福州,5
,新尚荣,民营企业,50-150人,不限,38,重庆市,重庆,8
,新希望六和,股份制企业,2000人以上,农林牧渔/其他,9,北京,北京,5
,新希望服务,股份制企业,2000人以上,房产/家居/建筑/物业,30,四川,四川,5
,新悦,民营企业,15-50人,不限,3,福建,泉州,9
,新数易博,民营企业,50-150人,企业服务/咨询,46,北京,北京,8
,新文华幼儿园,社会团体,少于15人,培训/教育,4,上海,上海,10
,新日股份,民营企业,2000人以上,制造/汽车/机械,19,江苏,无锡,5
,新昌县咖雀日用品商行,民营企业,15-50人,企业服务/咨询,7,浙江,绍兴,9
,新智领道,民营企业,15-50人,企业服务/咨询,14,北京,北京,9
,新核云,外资企业,50-150人,互联网/游戏/软件,29,上海,上海,8
,新楚信息,民营企业,150-500人,互联网/游戏/软件,16,湖北,武汉,7
,新氧科技,民营企业,500-2000人,互联网/游戏/软件,74,北京,北京,6
,新环境网络科技,合伙企业,2000人以上,房地产服务(物业管理/地产经纪),18,湖南,长沙,5
,新略数智,民营企业,50-150人,软件/互联网/游戏,56,上海,上海,8
,新疆桃李面包,民营企业,150-500人,快消/百货/批发/零售,2,新疆,乌鲁木齐,7
,新疆谱诚咨询,民营企业,15-50人,企业服务/咨询,6,新疆,乌鲁木齐,9
,新知教育,民营企业,15-50人,培训/教育,15,广东,惠州,9
,新绿色药业,民营企业,2000人以上,医疗/健康/制药/生物,16,四川,四川,5
,新美互通,民营企业,150-500人,互联网/游戏/软件,12,北京,北京,7
,新蛋中国,外资企业,500-2000人,互联网/游戏/软件,9,陕西省,延安市,6
,新视窗,民营企业,150-500人,互联网/游戏/软件,11,江西省,南昌市,7
,新课堂国际教育,民营企业,500-2000人,培训/教育,48,广东,深圳,6
,新迈尔,民营企业,150-500人,教育/培训,11,北京,北京,7
,新通外语,民营企业,500-2000人,教育/培训,9,浙江,宁波,6
,新都邻你生活超市,股份制企业,150-500人,快消/百货/批发/零售,8,四川,四川,7
,新铭天,民营企业,50-150人,汽车/机械/制造,6,辽宁,沈阳,8
,新闪,民营企业,15-50人,软件/互联网/游戏,53,江苏,苏州,9
,新阅时代,民营企业,50-150人,软件/互联网/游戏,83,北京,北京,8
,新飞通,外资企业,500-2000人,电子/通信/硬件,63,广东,深圳市/东莞市,6
,新鸥鹏集团,民营企业,2000人以上,教育/培训,2,北京,北京,5
,新鸿创,民营企业,50-150人,投资/经济/财会/金融,46,福建,福州,8
,新鸿基地产-华南区,外资企业,2000人以上,房产/家居/物业/建筑,21,广东,广州,5
,方圆地产,民营企业,500-2000人,房产/家居/建筑/物业,50,广东省,广州市,6
,方大建科,民营企业,2000人以上,房产/家居/建筑/物业,41,广东,深圳,5
,方大集团,股份制企业,2000人以上,房产/家居/物业/建筑,24,广东,深圳,5
,方寸医生,民营企业,50-150人,生物/健康/制药/医疗,14,北京,北京,8
,方括研究,中外合资企业,15-50人,咨询/企业服务,22,上海,上海,9
,方株武汉,外资企业,150-500人,互联网/游戏/软件,11,湖北,武汉,7
,方森园,民营企业,50-150人,快消/百货/批发/零售,19,浙江,杭州,8
