公司简称,公司全称,公司性质,公司规模,公司所在行业,JD数量,公司所在地_1,公司所在地_2,公司排序
国泰君安,国泰君安期货,国有企业,500-2000人,金融/经济/投资/财会,41,上海,上海,1
国泰君安,国泰君安风险管理,国有企业,50-150人,投资/财会/经济/金融,32,上海,上海,1
国泰基金,国泰基金,外资企业,150-500人,互联网/游戏/软件,42,上海市,市辖区,1
土豆,土豆数据,民营企业,150-500人,游戏/软件/互联网,130,陕西,西安,1
地平线/地平线机器人,地平线,外资企业,500-2000人,游戏/软件/互联网,165,江苏,南京,4
埃森哲,埃森哲,外资企业,2000人以上,游戏/软件/互联网,352,全国,,1
基蛋生物,基蛋生物,股份制企业,500-2000人,制药/健康/医疗/生物,55,江苏省,南京市,2
壹网壹创,壹网壹创,民营企业,500-2000人,互联网/游戏/软件,32,,,3
复旦张江,复旦张江,股份制企业,500-2000人,制药/健康/医疗/生物,562,上海,上海,2
复星医药,复星医药疫苗事业部,民营企业,2000人以上,医疗/健康/制药/生物,8,上海,上海,1
多益网络,多益网络,股份制企业/民营企业,2000人以上,游戏/软件/互联网,1206,广东/广东省,广州/广州市,1
大博医疗,大博医疗,民营企业,2000人以上,制药/健康/医疗/生物,54,福建,厦门,2
大参林,大参林集团,股份制企业,2000人以上,医疗/健康/制药/生物,4,广东省,广州市,1
大悦城控股股份,大悦城控股,民营企业,2000人以上,房产/家居/物业/建筑,1,湖北省,武汉市,4
中原地产,天津中原地产,外资企业,500-2000人,物业/家居/房产/建筑,24,天津,天津,1
链家,天津链家,民营企业,2000人以上,房产/家居/物业/建筑,28,天津,天津,1
链家,天津链家地产有限公司,民营企业,500-2000人,房产/家居/物业/建筑,10,天津,天津,1
天风证券,天风证券,股份制企业,2000人以上,投资/财会/经济/金融,82,上海市/北京市,市辖区,2
太二酸菜鱼,太二酸菜鱼,民营企业,2000人以上,酒店/娱乐/餐饮/旅游,52,全国,,2
太平洋,太平洋健康险,国有企业,150-500人,金融/经济/投资/财会,23,上海,上海,2
太平洋,太平洋网络,民营企业,500-2000人,互联网/游戏/软件,37,广东,市辖区,2
太平洋,太平洋证券,民营企业,500-2000人,金融/经济/投资/财会,28,北京,北京,2
太极,太极风控,民营企业,50-150人,互联网/游戏/软件,12,天津,天津,4
奥比中光,奥比中光,民营企业,500-2000人,通信/电子/硬件,83,广东,深圳,1
奥美,奥美体育,合伙企业,15-50人,教育/培训,4,广东,东莞市,1
奥飞娱乐/奥飞娱乐ALPHA,奥飞娱乐,股份制企业,2000人以上,公关/传媒/展览/广告,233,广东,广州,4
好大夫在线,好大夫在线,民营企业,500-2000人,互联网/游戏/软件,10,北京,北京,3
好看视频,好看,民营企业,50-150人,游戏/软件/互联网,18,北京,北京,1
鱼得水,如鱼得水窗帘,民营企业,500-2000人,百货/快消/批发/零售,71,浙江,杭州,2
字节跳动,字节跳动,民营企业,2000人以上,游戏/软件/互联网,253,北京,北京,2
学而思网校,学而思,民营企业,2000人以上,培训/教育,41,广东/广东省,佛山市/广州市/海口市/长沙市/郑州市,3
宁波银行,宁波银行,民营企业,2000人以上,金融/经济/投资/财会,13,上海,上海,2
宁波银行,宁波银行上海分行,民营企业,500-2000人,金融/经济/投资/财会,26,上海,上海,2
宁波银行,宁波银行北京分行,股份制企业,2000人以上,金融/经济/投资/财会,10,北京,北京,2
宁波银行,宁波银行台州分行,股份制企业,2000人以上,金融/经济/投资/财会,53,浙江,台州,2
宁波银行,宁波银行温州分行,中外合资企业,500-2000人,金融/经济/投资/财会,62,浙江,温州,2
宁波银行,宁波银行股份有限公司嘉兴分行,股份制企业,500-2000人,金融/经济/投资/财会,118,浙江,嘉兴,2
安居客,安居客,股份制企业,2000人以上,互联网/游戏/软件,32,上海,上海,1
安永帕特侬（博智隆）,安永,民营企业,500-2000人,投资/财会/经济/金融,26,海南省/云南省,昆明市/海口市,1
安踏,安踏上海分公司,民营企业,2000人以上,快消/百货/批发/零售,17,上海,上海,3
