"所属公司","公司性质","公司规模","公司所在行业","公司所在地","职位所在地","JD数量"
"北京明希资本","民营企业","15-50人","金融/经济/投资/财会","北京市/北京","北京市朝阳区","5"
"诚源华鑫","民营企业","50-150人","企业服务/咨询","陕西/西安","西安市雁塔区锦业时代B3座1503","8"
"惠升基金","民营企业","50-150人","金融/经济/投资/财会","北京","嘉里城","4"
"华联期货有限公司","国有企业","150-500人","金融/经济/投资/财会","广东","东莞市","11"
"麒景贸易","民营企业","15-50人","金融/经济/投资/财会","河北/石家庄","启新大厦901室","18"
"鹏扬基金",,"50-150人","金融/经济/投资/财会","北京","北京市西城区复兴门外大街A2号中化大厦16层鹏扬基金管理有限公司","7"
"鹏扬基金",,"50-150人","金融/经济/投资/财会","北京","深圳市福田区滨河大道9289号京基滨河时代广场1901室","18"
"温州申汇征信服务有限公司郑州第二分公司","民营企业","50-150人","金融/经济/投资/财会","河南/郑州","河南省郑州市管城区紫荆山路与商城路交叉口兴达国贸24层2411室","5"
"新世界中国","外资企业","150-500人","房产/家居/物业/建筑","广州","广州市天河区珠江新城周大福金融中心","13"
"致诚卓远 ","合伙企业","15-50人","金融/经济/投资/财会","云南/昆明","云南省昆明市官渡区古渡口路俊发滇池one 3-4-2","5"
"西苑资本","民营企业","15-50人","金融/经济/投资/财会","上海市/上海","上海市浦东新区陆家嘴","6"
"诺亚控股","民营企业","2000人以上","金融/经济/投资/财会","上海市/上海","历下区千佛山路创意岗CC Park","10"
"诺亚控股","民营企业","2000人以上","金融/经济/投资/财会","上海市/上海","迎春大街171号润华大厦1号楼18楼","5"
"安硕信息","股份制企业","2000人以上","互联网/游戏/软件","上海","上海市杨浦区国泰路11号复旦科技园23楼","8"
"Computershare","外资企业","50-150人","企业服务/咨询","北京市/北京","北京东城区东方广场西一座907室","4"
"广发卡","国有企业","2000人以上","金融/经济/投资/财会","广东/广州","佛山南海千灯湖地铁口","8"
"中国人寿","国有企业","2000人以上","金融/经济/投资/财会","四川/成都","石化大厦8楼","20"
"广州经传","民营企业","500-2000人","金融/经济/投资/财会","广东/广州","广州番禺龙环街道天安科技园2号楼19层（整层都是我们的哦）","6"
"鸿创集团","民营企业","50-150人","金融/经济/投资/财会","广东","东莞市东城街道民盈国贸T5栋11楼11003室","27"
"中国人寿","国有企业","2000人以上","金融/经济/投资/财会","四川/成都","华阳石化大厦","20"
"广州经传","民营企业","500-2000人","金融/经济/投资/财会","广东/广州","公司总部番禺节能科技园总部中心2号楼19楼","4"
"中国人寿第一支公司","国有企业","2000人以上","金融/经济/投资/财会","四川/成都","成都市双流区海昌路石化大厦8楼","9"
"安硕信息","股份制企业","2000人以上","互联网/游戏/软件","上海","深圳市福田区车公庙创建大厦1904-1905","8"
"钬信集团","股份制企业","2000人以上","金融/经济/投资/财会","北京市/北京","北京市朝阳区关东店28号9楼","10"
"金瑞达","民营企业","15-50人","不限","北京市/北京","河南省郑州市金水区东风路世玺中心12层1204室","10"
"广州经传","民营企业","500-2000人","金融/经济/投资/财会","广东/广州","广州市番禺区天安节能科技园总部中心2号楼19层整层前台1902","9"
"金风科技","民营企业","2000人以上","化工/能源/环保","北京","北京市经济技术开发区博兴一路8号","4"
"易起赢","民营企业","50-150人","金融/经济/投资/财会","天津市/天津","天津市河西区南北大街天津湾写字楼B座712","10"
"安硕信息","股份制企业","2000人以上","互联网/游戏/软件","上海","北京市东城区朝阳门北大街8号富华大厦D座9层E室","8"
"中天国富证券","民营企业","500-2000人","金融/经济/投资/财会","深圳","中国(上海)自由贸易试验区民生路118号25层","6"
"北京都有科技有限公司","民营企业","50-150人","金融/经济/投资/财会","北京市/北京","北京市朝阳区八里庄住邦2000 4号楼907室","12"
"中证信用","股份制企业","500-2000人","企业服务/咨询","深圳","深圳证券交易所","7"
"金元证券","国有企业","500-2000人","金融/经济/投资/财会","广东/深圳","福田区深南大道4001号时代金融中心4楼","12"
"中欧基金","外资企业","150-500人","金融/经济/投资/财会","上海市/上海","安徽省合肥市","20"
"百颐资本","民营企业","15-50人","金融/经济/投资/财会","北京市/北京","北京市东城区东不压桥胡同49号玉河四十九號","7"
"万科集团","民营企业","2000人以上","房产/家居/物业/建筑","深圳","广东省深圳市福田区万科滨海云大厦","11"
"合生创展不动产集团","民营企业","2000人以上","房产/家居/物业/建筑","北京市","上海市静安区恒基688广场","5"
"中泰信托","民营企业","50-150人","金融/经济/投资/财会","上海","上海市黄浦区北京东路666号科技京城西楼32楼(近人民广场站)","8"
"贺唐智能","民营企业","50-150人","互联网/游戏/软件","上海","上海市闵行区紫星路588号1号楼603室","7"
"擎天柱基金","民营企业","15-50人","金融/经济/投资/财会","北京市/北京","北京市望京","7"
"泰信物产","国有企业","15-50人","交通/贸易/物流","浙江/杭州","浙江省杭州市江干区剧院路358-396号宏程国际大厦","5"
"度小满","民营企业","2000人以上","互联网/游戏/软件","全国",,"12"
"重源投资","民营企业","15-50人","金融/经济/投资/财会","上海市/上海","上海市浦东嘉里城","6"
"启林投资","民营企业","50-150人","金融/经济/投资/财会","上海市/上海","上海市虹口区虹口soho1803","5"
"海证期货","国有企业","500-2000人","金融/经济/投资/财会","上海市/上海","上海市虹口区临平北路19号3楼海证期货有限公司","11"
"360数科","民营企业","2000人以上","互联网/游戏/软件","北京市/北京","陆家嘴金融服务广场7层（东方路1217号）","7"
"福建中核汇能能源有限公司","国有企业","50-150人","化工/能源/环保","福建/厦门","厦门市集美区浔江路175号","8"
"晨岭资本","民营企业","15-50人","金融/经济/投资/财会","北京市/北京","苏州市工业园区苏州中心D座","14"
"斯内尔","民营企业","15-50人","金融/经济/投资/财会","浙江/宁波","全国职位，详情在职位描述中说明","6"
"顾家集团","民营企业","2000人以上","房产/家居/物业/建筑","杭州","杭州东站顾家大厦","10"
"出类资本","民营企业","少于15人","金融/经济/投资/财会","上海市/上海","上海黄浦区延安东路550号海洋大厦29层","7"
"敦方私募基金","合伙企业","少于15人","金融/经济/投资/财会","上海市/上海","上海市浦东成山路1088号6层","9"
"华实浩瑞","合伙企业","少于15人","金融/经济/投资/财会","湖北","朝阳区京城大厦","5"
"360数科","民营企业","2000人以上","互联网/游戏/软件","北京市/北京","上海浦东新区陆家嘴金融服务广场7层","6"
"想念","外资企业","2000人以上","农林牧渔/其他","南阳","河南省南阳市卧龙区想念食品股份有限公司","11"
"首程控股","股份制企业","150-500人","金融/经济/投资/财会","北京市/北京","北京市","7"
"浙江申汇金融服务外包有限公司郑州分公司","民营企业","2000人以上","金融/经济/投资/财会","河南/郑州","郑州市管城回族区紫荆山路兴达国贸24层2411","18"
"健顺投资","民营企业","15-50人","金融/经济/投资/财会","上海市","上海市浦东新区花园石桥路66号1601室","18"
"蓝图创投","民营企业","15-50人","金融/经济/投资/财会","北京市/北京","将台西路","7"
"蓝图创投","民营企业","15-50人","金融/经济/投资/财会","北京市/北京","厦门思明区","7"
"中信证券临海营业部","国有企业","15-50人","金融/经济/投资/财会","浙江/台州","浙江省临海市靖江中路193号3楼","10"
"忠石投资","股份制企业","15-50人","金融/经济/投资/财会","陕西","西安市雁塔区科技路37号海星城市广场B座1406","6"
"密尔克卫","股份制企业","500-2000人","化工/能源/环保","上海","上海市浦东新区锦绣东路2777弄39号楼","16"
"中晖资本","股份制企业","15-50人","金融/经济/投资/财会","广东/深圳","北京市海淀区中关村南大街35号紫竹书苑4栋","5"
"360数科","民营企业","500-2000人","互联网/游戏/软件","北京市/北京","上海市浦东新区东方路1217号陆家嘴金融服务广场","6"
"大成基金","国有企业","150-500人","金融/经济/投资/财会","深圳","北京市西城区","20"
"大成基金","国有企业","150-500人","金融/经济/投资/财会","深圳","深圳市","6"
"前海开源基金","民营企业","150-500人","金融/经济/投资/财会","深圳","万科富春东方大厦22楼","7"
"金融街研究院","社会团体","少于15人","金融/经济/投资/财会","北京市/北京","北京市西城区金融大街","5"
"中信建投证券慈溪营业部","国有企业","2000人以上","金融/经济/投资/财会","浙江/宁波","浙江省慈溪市浒山三北西大街280号","8"
"中信证券 ","国有企业","500-2000人","基金/证券/期货/投资","山东/青岛","青岛市李沧区延川路2-2、3、4号","20"
"中欧基金","外资企业","150-500人","金融/经济/投资/财会","上海市/上海","湖北省武汉市","19"
"大公国际","国有企业","150-500人","金融/经济/投资/财会","北京市","北京市海淀区西三环北路89号中国外文大厦A座3层","22"
"晨岭资本","民营企业","15-50人","金融/经济/投资/财会","北京市/北京","北京市海淀区融科资讯中心","14"
"首创证券","国有企业","500-2000人","金融/经济/投资/财会","北京市/北京","全国职位，详情在职位描述中说明","6"
"铂数信息","民营企业","50-150人","金融/经济/投资/财会","广东/深圳","深圳市宝安区壹方中心","15"
"和诚创新","民营企业","15-50人","企业服务/咨询","北京市/北京","北京东城区朝阳门SOHO北京东城区朝阳门SOHO1506","9"
"2060Advisory","民营企业","少于15人","金融/经济/投资/财会","浙江/杭州","浙江省杭州市西湖区黄龙万科中心B座7层","10"
"微聚美科技","民营企业","少于15人","互联网/游戏/软件","广东/深圳","深圳湾生态科技园9栋A1座3003b","9"
"信美相互",,"150-500人","金融/经济/投资/财会","北京","上海市浦东新区民生路1199号证大五道口广场1号楼28楼 信美相互","6"
"AtradiusCollections","外资企业","2000人以上","企业服务/咨询","上海市","中国上海市长宁区中山西路1065号Soho中山广场B座","11"
"中晖资本","股份制企业","15-50人","金融/经济/投资/财会","广东/深圳","北京市海淀区中关村南大街35号紫竹书苑长青园","5"
"和诚创新","民营企业","15-50人","企业服务/咨询","北京市/北京","长宁区仙霞路317号远东国际广场B座2009A","9"
"美库","中外合资企业","15-50人","交通/贸易/物流","全国","上海市闵行区虹桥万通中心","5"
"普诚物产","民营企业","15-50人","交通/贸易/物流","北京市","京都商业中心","6"
"中国人寿","国有企业","500-2000人","金融/经济/投资/财会","四川/成都","成都市锦江区东府九座1706（地铁1号线锦江宾馆站口附近300米）","10"
"厦门煌隆广州分公司","民营企业","150-500人","金融/经济/投资/财会","广东/广州","嘉禾望岗地铁站上盖步行2分钟  ​","12"
"乐有家","民营企业","2000人以上","房产/家居/物业/建筑","广东","中山市，广州市，深圳市都有分店，工作可就近分配","12"
"上海云旗资产","民营企业","15-50人","金融/经济/投资/财会","上海市/上海","上海市静安区大宁音乐广场H座1801","6"
"融中集团","民营企业","50-150人","金融/经济/投资/财会","北京市/北京","佳程广场","15"
"卡方信息科技 ","民营企业","50-150人","金融/经济/投资/财会","上海市/上海","上海市浦东新区东方路1381号兰村大厦base裙楼小白楼6楼","15"
"Akuna Capital","外资企业","150-500人","金融/经济/投资/财会","上海市/上海","上海浦东新区国展路","5"
"中信建投","股份制企业","2000人以上","金融/经济/投资/财会","北京市/北京","北京市丰台区紫芳园四区1号楼202中信建投证券","10"
"瀚德科技","民营企业","150-500人","金融/经济/投资/财会","广东/深圳","深圳市南山区西丽街道打石一路深圳国际创新谷3期7栋B座32楼","4"
"企业外汇管理专家","外资企业","15-50人","企业服务/咨询","上海市/上海","上海市徐汇区中金国际广场C座611","7"
"天风证券","股份制企业","2000人以上","金融/经济/投资/财会","武汉","北京，上海","6"
"天风证券","股份制企业","2000人以上","金融/经济/投资/财会","武汉","北京、上海、武汉","20"
"中信证券","股份制企业","2000人以上","金融/经济/投资/财会","杭州","杭州市拱墅区延安路515号浙信大厦9楼","6"
"合生创展不动产集团","民营企业","2000人以上","房产/家居/物业/建筑","北京市","北京市朝阳区\u002F上海市静安区","5"
"天风证券","股份制企业","2000人以上","金融/经济/投资/财会","武汉","浦东新区兰花路333号世纪大厦","28"
"河北恒卓","民营企业","15-50人","金融/经济/投资/财会","河北/石家庄","石家庄市，中华大街 荣鼎天下A座","6"
"博泽资产","民营企业","50-150人","金融/经济/投资/财会","北京市/北京","北京市朝阳区光华路1号嘉里中心北楼5层516室","9"
"毕括咨询","民营企业","50-150人","金融/经济/投资/财会","北京市/北京","北京朝阳区大望路温特莱中心B座26层","29"
"第一创业证券","股份制企业","500-2000人","金融/经济/投资/财会","深圳","环球金融中心","17"
"前海开源基金","民营企业","150-500人","金融/经济/投资/财会","深圳","深圳市福田区深南大道7006号万科富春东方大厦12楼","16"
"泰康健投","民营企业","2000人以上","金融/经济/投资/财会","北京","泰康之家上海分公司浦东新区陆家嘴","6"
"中信证券标山路","国有企业","2000人以上","金融/经济/投资/财会","山东/青岛","山东省青岛市市北区标山路36号","13"
"合生创展","外资企业","2000人以上","房产/家居/物业/建筑","北京市/北京","北京市朝阳区西大望路甲22号合生汇写字楼","5"
"中信建投证券","国有企业","2000人以上","金融/经济/投资/财会","北京市","北京市海淀区交大科技大厦101-1室中信建投证券","12"
"鼎心资本","民营企业","15-50人","金融/经济/投资/财会","广东","深圳市南山区科苑北高北十六创意园2号楼303","15"
"衍复投资","民营企业","50-150人","金融/经济/投资/财会","上海市/上海","上海市徐汇区绿地中心A座","6"
"中信证券湖州劳动路证券营业部","股份制企业","15-50人","金融/经济/投资/财会","浙江/湖州","浙江省湖州市吴兴区劳动路84、86号","10"
"五矿证券","国有企业","2000人以上","金融/经济/投资/财会","广东/广州","广州华夏路16号1903","13"
"雨润集团","民营企业","2000人以上","快消/百货/批发/零售","江苏/南京","南京市雨润集团","5"
"平安金服","股份制企业","2000人以上","金融/经济/投资/财会","上海市/上海","合肥市包河区徽州大道与南京路交叉口金融岗A11栋","7"
"泽龙投资","民营企业","15-50人","金融/经济/投资/财会","湖北/武汉","武汉市洪山区光谷创业街","9"
"鼎实复利资产配置","民营企业","15-50人","金融/经济/投资/财会","广东","广东省广州市天河区珠江东路16号高德置地·东广场G座1804","5"
"重庆卓财商务","民营企业","15-50人","金融/经济/投资/财会","重庆市/重庆","重庆市江北区北城二路78号珠江壹号","14"
"大家资产","国有企业","150-500人","金融/经济/投资/财会","北京市/北京","北京市朝阳区建国门外大街大家保险大厦","9"
"永富物产","民营企业","50-150人","金融/经济/投资/财会","浙江/杭州","杭州市上城区华峰国际9楼","8"
"杭州热联集团","国有企业","500-2000人","交通/贸易/物流","浙江/杭州","汉嘉国际25楼","5"
"西藏金信投资有限公司","国有企业","15-50人","金融/经济/投资/财会","四川/成都","四川省成都市高新区天府大道199号棕榈泉国际中心34层","9"
"汇益租赁","国有企业","50-150人","金融/经济/投资/财会","北京市/北京","北京市海淀区中科资源大厦北楼","8"
"联信集团","民营企业","2000人以上","金融/经济/投资/财会","山东/青岛","青岛市崂山区九水东路圣水路新希望六和产业园2号楼5层","19"
"德诚集团","民营企业","2000人以上","快消/百货/批发/零售","福建/福州","长乐区德诚珠宝创意园","12"
"MOUSER ELECTRONICS","外资企业","50-150人","电子/通信/硬件","上海市/上海","上海市长宁区娄山关路555号","11"
"Rolls-Royce China","外资企业","500-2000人","汽车/机械/制造",,"北京朝阳区酒仙桥颐堤港","7"
"一方财务","民营企业","150-500人","金融/经济/投资/财会","重庆市/重庆","茶园新区通江大道215号7号楼6A层","16"
"高顿教育","民营企业","2000人以上","教育/培训","上海市/上海","上海市高顿教育总部","21"
"金斧子","民营企业","500-2000人","金融/经济/投资/财会","广东/深圳","广州市天河区珠江新城珠江东路28号越秀金融大厦1112-1116","10"
"泰康人寿天津分公司","民营企业","150-500人","金融/经济/投资/财会","天津市/天津","天津市和平区","9"
"中信证券 ","股份制企业","15-50人","金融/经济/投资/财会","浙江/金华","浙江省金华市永康市金城路29号钢海大厦三楼","14"
"凯丰投资","民营企业","50-150人","金融/经济/投资/财会","深圳","深圳市福田区益田路6001号太平金融大厦2601","10"
"亿梦达资本","民营企业","50-150人","金融/经济/投资/财会","江苏/苏州","苏州市工业园区东平街272号亿阳值通大厦","6"
"CBD家居","民营企业","2000人以上","房产/家居/物业/建筑","广东/深圳","广东省惠州市惠阳三和经济开发区矮岭路CBD家居总部","6"
"金斧子","民营企业","500-2000人","金融/经济/投资/财会","广东/深圳","北京市朝阳区广渠路66号院百环大厦906","10"
"金斧子","民营企业","500-2000人","金融/经济/投资/财会","广东/深圳","深圳市南山区粤海街道科苑北路科兴科学园B3单元11层","10"
"国信证券浙江分公司","国有企业","500-2000人","金融/经济/投资/财会","浙江","杭州市下城区体育场路105号凯喜雅大厦六楼","6"
"中国人寿","国有企业","2000人以上","金融/经济/投资/财会","四川/成都","成都市双流区海洋路石化大厦8楼","14"
"AlphaSights","外资企业","500-2000人","企业服务/咨询","上海","wework","7"
"乐捷企业服务有限公司","民营企业","150-500人","企业服务/咨询","湖北/武汉","江汉区単洞路武汉国际大厦A座","10"
"湘财证券 ","民营企业","2000人以上","金融/经济/投资/财会","上海市/上海","月坛金融街中心","11"
"欧众发展","民营企业","50-150人","农林牧渔/其他","重庆市","重庆市渝中区解放碑","16"
"睿扬投资","民营企业","少于15人","基金/证券/期货/投资","上海市/上海","上海市浦东新区浦明路1500号万得大厦12层","9"
"广州经传","民营企业","500-2000人","金融/经济/投资/财会","广东/广州","广州市番禺区龙环街道天安科技园2号楼19层（整层都是我们的哦）","6"
"力合租赁","民营企业","50-150人","金融/经济/投资/财会","上海","长宁来福士T3","7"
"金元证券","国有企业","500-2000人","金融/经济/投资/财会","广东/深圳","深南大道4001号时代金融中心","12"
"中信证券 ","国有企业","15-50人","金融/经济/投资/财会","浙江/温州","浙江省瑞安市安阳街道拱瑞山路432号、434号","10"
"海尔集团","民营企业","2000人以上","汽车/机械/制造","青岛","山东青岛市崂山区海尔路1号海尔信息产业园创牌大楼","7"
"InvesTAO","外资企业","少于15人","金融/经济/投资/财会","上海市/上海","浦东新区陆家嘴未来资产大厦","7"
"欧君科技","股份制企业","50-150人","互联网/游戏/软件","北京市/北京","北京朝阳区国贸数码01大厦1706","4"
"拓百科技","民营企业","150-500人","互联网/游戏/软件","云南/昆明","盘龙区万宏路万宏国际奥斯迪商务中心B座16楼","20"
"财富引擎","民营企业","50-150人","金融/经济/投资/财会","北京","北京市海淀区中关村东路18号财智国际大厦C座","4"
"和众汇富","民营企业","500-2000人","金融/经济/投资/财会","天津市/天津","天津滨海新区建发大厦8楼","14"
"360数科","民营企业","2000人以上","互联网/游戏/软件","北京市/北京","朝阳区360大厦","15"
"广发卡","国有企业","2000人以上","金融/经济/投资/财会","广东/广州","佛山南海千灯湖保利水城","14"
"创度空间","民营企业","15-50人","快消/百货/批发/零售","辽宁/营口","上海市普陀区桃浦智创园","8"
"金斧子","民营企业","500-2000人","金融/经济/投资/财会","广东/深圳","上海市徐家汇 虹桥路777号汇京国际广场2801室","10"
"赢家股","民营企业","15-50人","金融/经济/投资/财会","四川/成都","成都市成华区昭觉寺南路融锦城四栋二单元503","12"
"一苇资本","民营企业","15-50人","金融/经济/投资/财会","北京市/北京","北京市朝阳区横琴人寿大厦9层","9"
"中信证券长兴营业部","国有企业","15-50人","金融/经济/投资/财会","浙江/湖州","浙江省湖州市长兴县太湖街道明珠路1358号107、1801室","10"
"敦信资产","民营企业","15-50人","金融/经济/投资/财会","浙江/杭州","杭州市解放东路37号财富金融中心西楼","11"
"弘则研究","民营企业","50-150人","金融/经济/投资/财会","上海","上海市浦东新区世纪大道210号二十一世纪大厦12F","5"
"国泰君安","股份制企业","少于15人","金融/经济/投资/财会","深圳","深圳市南山区华润前海大厦A座1410","10"
"中欧基金","外资企业","150-500人","金融/经济/投资/财会","上海市/上海","山东省济南市","18"
"中欧基金","外资企业","150-500人","金融/经济/投资/财会","上海市/上海","嘉昱大厦","6"
"乐有家","民营企业","2000人以上","房产/家居/物业/建筑","广东","中山市，广州市，深圳市都有分店，工作可就近安排","15"
"托特投资","民营企业","15-50人","金融/经济/投资/财会","北京市/北京","北京市海淀区华一控股大厦12层","6"
"国信证券浙江分公司","国有企业","500-2000人","金融/经济/投资/财会","浙江","杭州市萧山区皓月路159号诺德财富中心","10"
"中信建投证券股份有限公司北京昌平昌崔路证","国有企业","15-50人","金融/经济/投资/财会","北京市/北京","北京市昌平区昌崔路203号","10"
"厨芯","民营企业","500-2000人","不限","北京市/北京","后沙峪空港融慧园25-1-2 厨芯科技","13"
"锦浪基金","民营企业","少于15人","金融/经济/投资/财会","重庆市/重庆","重庆市渝中区企业天地","5"
"瑞华控股","民营企业","50-150人","金融/经济/投资/财会","江苏/南京","江苏省南京市玄武区紫气路3号瑞华投创园","9"
"华玻视讯","民营企业","500-2000人","电子/通信/硬件","广东/珠海","珠海市横琴新区港澳大道2333号国家食品安全横琴创新中心8栋17层","7"
"中天国富证券","民营企业","500-2000人","金融/经济/投资/财会","深圳",,"6"
"CVTE","股份制企业","2000人以上","互联网/游戏/软件","广州","合肥CVTE产业园","7"
"轻舟智航QCraft","民营企业","50-150人","互联网/游戏/软件","全国","高铁新城青龙港路66号兆润领寓大厦21楼","7"
"网高科技","民营企业","150-500人","电子/通信/硬件","浙江/台州","台州市黄岩二环西路219号网高科技3楼","17"
"陕西俊华装饰工程有限公司","民营企业","15-50人","房产/家居/物业/建筑","陕西/西安","芜湖市高新技术产业开发区","3"
"捷昌驱动","股份制企业","2000人以上","汽车/机械/制造","浙江/绍兴","浙江捷昌线性驱动科技股份有限公司","10"
"胜达高科","民营企业","150-500人","电子/通信/硬件","浙江/宁波","宁波市北仑区扬子江路厂区内","7"
"奥佳华","股份制企业","2000人以上","汽车/机械/制造","福建/厦门",,"53"
"星网宇达","股份制企业","500-2000人","电子/通信/硬件","北京","亦庄经济开发科谷二街六号院区星网宇达","35"
"众全机电","民营企业","50-150人","房产/家居/物业/建筑","广东","广东省惠州市仲恺高新区陈江白云路","8"
"友华通信","民营企业","150-500人","电子/通信/硬件","广东/深圳","全国职位，详情在职位描述中说明","8"
"碧拓","民营企业","少于15人","电子/通信/硬件","上海市","上海市松江区千帆路288弄G60科创云廊6号楼8楼","27"
"山东华盛佳悦","民营企业","少于15人","教育/培训","山东/聊城","济南各级医院","11"
"极智超声","民营企业","少于15人","汽车/机械/制造","广东/深圳","广东\u002F深圳\u002F光明区华强创意产业园5B栋","33"
"龙鼎源技术开发中心","民营企业","50-150人","电子/通信/硬件","北京市/北京","北京市朝阳区红军营南路瑞普大厦B303","8"
"华录智达","国有企业","150-500人","互联网/游戏/软件","辽宁/大连","大连甘井子区华录智达科技股份有限公司14层","5"
"智慧互通AIPARK","民营企业","500-2000人","互联网/游戏/软件","北京市/北京","北京市海淀区中钢国际广场9层","14"
"鱼跃集团","民营企业","2000人以上","医疗/健康/制药/生物","全国","深圳市宝安区兴东社区稻兴环球科创中心A座29楼","7"
"恒美股份","民营企业","500-2000人","汽车/机械/制造","江苏/苏州","苏州市吴江区同里镇富华路388号","7"
"CVTE","股份制企业","2000人以上","互联网/游戏/软件","广州","广州黄埔区","7"
"深纳普思","民营企业","50-150人","医疗/健康/制药/生物","北京市/北京","北京市海淀区博彦科技大厦","8"
"晶珩电子","民营企业","50-150人","电子/通信/硬件","上海市/上海","上海市 嘉定区 市 嘉罗公路1661号盛创企业家园24号楼301","42"
"Teradyne","外资企业","150-500人","电子/通信/硬件","上海市/上海","上海市浦东新区桂桥路1201号","46"
"MORUS","民营企业","15-50人","电子/通信/硬件","广东/深圳","深圳市南山区西丽TCL国际E城","24"
"聚光科技","民营企业","2000人以上","化工/能源/环保","浙江/杭州","杭州市临安区青山湖科技大道2466号","15"
"芯德科技","股份制企业","150-500人","电子/通信/硬件","广东","广州高新技术产业开发区科学城科学大道162号创意大厦B2栋601","6"
"广东博迈医疗","民营企业","150-500人","医疗/健康/制药/生物","广东","东莞市松山湖科技园工业北路中小科技园第15栋","7"
"赛为智能","民营企业","500-2000人","互联网/游戏/软件","安徽/合肥","合肥市高新区创新大道666号赛为智能","28"
"润建股份有限公司","股份制企业","2000人以上","电子/通信/硬件","广西/南宁","广东省广州市天河区华夏力16号富力盈凯广场45层","7"
"绿萌","民营企业","500-2000人","汽车/机械/制造","江西/赣州","江西省赣州市信丰县诚信大道30号","47"
"集光通达","股份制企业","50-150人","电子/通信/硬件","北京市/北京","北京市昌平区回龙观二拨子博纳集团3号楼3层——集光通达","9"
"海睿华生","民营企业","50-150人","电子/通信/硬件","山东/青岛","山东省青岛市崂山区株洲路153号青岛高层次人才创业中心","8"
"Teradyne","外资企业","150-500人","电子/通信/硬件","上海市/上海","合肥经济技术开发区习友路5899号联想科技港D座6楼","20"
"DFRobot","股份制企业","150-500人","电子/通信/硬件","上海","上海市浦东新区博云路2号浦软大厦602室","9"
"威利达","民营企业","150-500人","电子/通信/硬件","湖北/武汉","湖北省武汉市江汉区泛海国际SOHO城2期1305-1306","8"
"目博科技","民营企业","150-500人","电子/通信/硬件","浙江/杭州","杭州市钱塘区6号大街452号高科技孵化园","9"
"畅印智创信息科技（上海）有限公司","民营企业","50-150人","不限","上海市/上海","上海，杭州，北京，成都，西安，武汉","15"
"紫光同芯","国有企业","150-500人","电子/通信/硬件","北京市/北京","成都高新区益州大道紫光芯云中心B座","7"
"紫光同芯","国有企业","150-500人","电子/通信/硬件","北京市/北京","北京市海淀区清华同方科技广场D座6\u002F15层","7"
"毅赫","股份制企业","15-50人","汽车/机械/制造","上海市/上海","上海松江","9"
"美仪自动化","民营企业","150-500人","汽车/机械/制造","杭州","杭州市西湖区西溪路525号浙大科技园A幢517\u002F518","9"
"资芯电子","民营企业","50-150人","电子/通信/硬件","广东","中山市东凤镇丰裕路55号","14"
"绿米联创",,"500-2000人","互联网/游戏/软件","深圳","南山区留仙大道南山智园崇文园区1号楼8楼","8"
"厨芯","民营企业","500-2000人","不限","北京市/北京","苏州高新区太湖云谷产业园","10"
"美仪自动化","民营企业","150-500人","汽车/机械/制造","杭州","杭州市钱塘新区新加坡科技园4幢5楼","20"
"敏实集团","外资企业","2000人以上","汽车/机械/制造","浙江/嘉兴","浙江省宁波市北仑区小港区安居路268号","5"
"北京中航信柏润科技有限公司","国有企业","150-500人","不限","北京市/北京","上海闵行区","10"
"赛为智能","民营企业","500-2000人","互联网/游戏/软件","安徽/合肥","合肥市高新区创新大道666号","8"
"庄生晓梦信息科技","民营企业","15-50人","互联网/游戏/软件","上海市/上海","上海市浦东新区申江路5800号九洲中心B215室","8"
"中大力德","民营企业","500-2000人","汽车/机械/制造","浙江/宁波","上海市闵行区瓶安路1258号2幢3层（中臻科创园）","17"
"美新半导体","外资企业","150-500人","电子/通信/硬件","浙江/绍兴","浙江省绍兴市越城区皋埠街道银桥路326号","17"
"厨芯","民营企业","500-2000人","不限","北京市/北京","高新区太湖云谷工业园","8"
"昆腾迈格","民营企业","15-50人","汽车/机械/制造","浙江/杭州","杭州市钱塘区综合保税区钱诚创新中心8号楼1层","26"
"胜达高科","民营企业","150-500人","电子/通信/硬件","浙江/宁波","宁波市海曙区孝闻花园18号楼3楼","29"
"新代科技","外资企业","500-2000人","汽车/机械/制造","江苏/苏州","苏州市工业园区春辉路9号","9"
"日铁软件","外资企业","150-500人","互联网/游戏/软件","上海","大连市高新园区火炬路3号纳米大厦19楼1901室","14"
"鱼跃集团","民营企业","2000人以上","医疗/健康/制药/生物","全国","江苏省丹阳市生命科学产业园百胜路1号鱼跃医疗","8"
"建木柔电","民营企业","15-50人","电子/通信/硬件","广东/深圳","中国科学院苏州纳米技术与纳米仿生研究所印刷电子技术研究中心","20"
"鱼跃集团","民营企业","2000人以上","医疗/健康/制药/生物","全国","镇江丹阳市云阳工业园振新路","6"
"云合智网","股份制企业","150-500人","电子/通信/硬件","浙江/杭州","杭州市萧山区","7"
"厨芯","民营企业","500-2000人","不限","北京市/北京","高新区太湖云谷（苏州）大数据产业1-1","10"
"迈冲科技","民营企业","50-150人","电子/通信/硬件","浙江/杭州","杭州市西湖区青蓝科创园D座1号楼东门301","8"
"弘信电子","民营企业","2000人以上","电子/通信/硬件","福建/厦门","福建省厦门市翔安区翔海路19号","14"
"云合智网","股份制企业","150-500人","电子/通信/硬件","浙江/杭州","上海市徐汇区","8"
"Softing","外资企业","50-150人","电子/通信/硬件","上海市/上海","金隅嘉华大厦","20"
