"所属公司","公司性质","公司规模","公司所在行业","公司所在地","职位所在地","JD数量"
"中少书盟","民营企业","150-500人","互联网/游戏/软件","北京市/北京","通州九棵树东朗文创园9号楼436","19"
"RedFern Digital","外资企业","15-50人","广告/传媒/公关/展览","上海市/上海","上海市长宁区80号澳洲安垦之家","68"
"尚博信","民营企业","150-500人","互联网/游戏/软件","北京市","陕西省西安市高新区宝德云谷国际","11"
"慧策","民营企业","2000人以上","互联网/游戏/软件","北京市/北京","北京市海淀区西直门北大街伊泰大厦","153"
"四海诚品","中外合资企业","15-50人","交通/贸易/物流","广东/深圳","深圳市南山区前海深港青年创业梦工场(梦海地铁站)","15"
"欧众发展","民营企业","50-150人","农林牧渔/其他","重庆市","重庆市江北区世纪阳光","73"
"实习僧校招内推助手","民营企业","50-150人","互联网/游戏/软件","北京市","长沙市高新区","70"
"增长公司","民营企业","15-50人","互联网/游戏/软件","广东/深圳","深圳市宝安区宝民二路东方商务大厦三楼B307","48"
"质心教育","民营企业","50-150人","教育/培训","北京市/北京","北京市朝阳区来广营国创产业园F202","42"
"乐有家","民营企业","2000人以上","房产/家居/物业/建筑","中山","深圳市福田区八卦路安吉尔大厦15楼乐有家控股集团","52"
"麦田房产","民营企业","2000人以上","房产/家居/物业/建筑","北京市","全北京400家门店就近分配","10"
"杰米尼","民营企业","少于15人","互联网/游戏/软件","广东/深圳","深圳市福田保税区腾飞工业大厦","14"
"坚果云","民营企业","150-500人","互联网/游戏/软件","上海市/上海","光谷资本大厦","22"
"小希","民营企业","2000人以上","互联网/游戏/软件","广东/广州","广东省广州市黄埔区科学大道18号芯大厦B座","54"
"浩方集团","民营企业","500-2000人","互联网/游戏/软件","广东","广东省深圳市南山区南山智园B1栋15楼","24"
"腾挪","民营企业","50-150人","互联网/游戏/软件","河北/石家庄","长安区嘉和广场2号楼807","12"
"融中集团","民营企业","50-150人","金融/经济/投资/财会","北京市/北京","北京市朝阳区东三环北路佳程广场A座20层D单元","60"
"鼎盛娱乐","民营企业","50-150人","广告/传媒/公关/展览","天津市/天津","天津市南开区黄河道凯立科技大厦（全国也可做线上）","17"
"灵感科技","民营企业","150-500人","互联网/游戏/软件","广东/广州","广州天河区中科零壹互联网文创加速器2楼","29"
"驻场无忧","民营企业","15-50人","互联网/游戏/软件","北京市/北京","北京市朝阳区化工路59号院焦奥中心一号楼B座709","43"
"霖思网络","民营企业","15-50人","互联网/游戏/软件","浙江/杭州","杭州市余杭区联创街与聚橙路交叉路口汇银中心3楼","34"
"深圳宝通行","民营企业","50-150人","汽车/机械/制造","广东/深圳","深圳市龙华区观澜街道新澜社区观光路1319-5号101（深圳宝通行）","7"
"统信软件","民营企业","2000人以上","互联网/游戏/软件","北京市/北京","北京经济技术开发区","16"
"Vista看天下","民营企业","50-150人","广告/传媒/公关/展览","北京市/北京","北京市朝阳区安定路5号院13号楼北投投资大厦B座11层","105"
"锦欣集团","民营企业","2000人以上","医疗/健康/制药/生物","四川","深圳市福田区福强路1001号","206"
"桥中创新CBi China Bridge","民营企业","15-50人","专业服务(咨询/财会/法律/翻译等)","上海市/上海","上海静安区常德路800号800show创意园C3幢202室","14"
"越美YOMT","民营企业","少于15人","快消/百货/批发/零售","上海市/上海","中山广场SOHO","11"
"成都谧野酒店管理有限公司","民营企业","少于15人","餐饮/酒店/旅游/娱乐","四川/成都","机动（可以在家办公，但是需要定期到项目上进行采编）","10"
"同花顺","股份制企业","2000人以上","金融/经济/投资/财会","浙江/杭州","浙江省杭州市余杭区五常街道同花顺新大楼","185"
